english,singular,plural,article,noun,x,y
Rest,Die Ruhe,-,Die,Ruhe,ruhe,1
Business,Das Geschäft,Die Geschäfte,Das,Geschäft,geschäft,2
Sky,Der Himmel,Die Himmel,Der,Himmel,himmel,0
Box,Die Schachtel,Die Schachteln,Die,Schachtel,schachtel,1
Person,Die Person,Die Personen,Die,Person,person,1
Reason,Der Grund,Die Gründe,Der,Grund,grund,0
Right,Das Recht,-,Das,Recht,recht,2
Skin,Die Haut,Die Häute,Die,Haut,haut,1
Case,Der Fall,Die Fälle,Der,Fall,fall,0
Piece,Das Stück,Die Stücke,Das,Stück,stück,2
Doctor,Der Arzt,Die Ärzte,Der,Arzt,arzt,0
Edge,Der Rand,Die Ränder,Der,Rand,rand,0
Picture,Das Bild,Die Bilder,Das,Bild,bild,2
Sense,Der Sinn,Die Sinne,Der,Sinn,sinn,0
Ear,Das Ohr,Die Ohren,Das,Ohr,ohr,2
Second,Die Sekunde,Die Sekunden,Die,Sekunde,sekunde,1
Lady,Die Dame,Die Damen,Die,Dame,dame,1
Neck,Der Hals,Die Hälse,Der,Hals,hals,0
Wind,Der Wind,Die Winde,Der,Wind,wind,0
Desk,Der Schreibtisch,Die Schreibtische,Der,Schreibtisch,schreibtisch,0
Gun,Die Waffe,Die Waffen,Die,Waffe,waffe,1
Stone,Der Stein,Die Steine,Der,Stein,stein,0
Coffee,Der Kaffee,Die Kaffees,Der,Kaffee,kaffee,0
Ship,Das Schiff,Die Schiffe,Das,Schiff,schiff,2
Earth,Die Erde,-,Die,Erde,erde,1
Food,Das Essen,-,Das,Essen,essen,2
Horse,Das Pferd,Die Pferde,Das,Pferd,pferd,2
Field,Das Feld,Die Felder,Das,Feld,feld,2
War,Der Krieg,Die Kriege,Der,Krieg,krieg,0
Afternoon,Der Nachmittag,Die Nachmittage,Der,Nachmittag,nachmittag,0
Sir,Der Herr,Die Herren,Der,Herr,herr,0
Space,Der Raum,Die Räume,Der,Raum,raum,0
Evening,Der Abend,Die Abende,Der,Abend,abend,0
Letter,Der Brief,Die Briefe,Der,Brief,brief,0
Bar,Die Bar,Die Bars,Die,Bar,bar,1
Dream,Der Traum,Die Träume,Der,Traum,traum,0
Apartment,Die Wohnung,Die Wohnungen,Die,Wohnung,wohnung,1
Chest,Die Brust,Die Brüste,Die,Brust,brust,1
Game,Das Spiel,Die Spiele,Das,Spiel,spiel,2
Summer,Der Sommer,Die Sommer,Der,Sommer,sommer,0
Matter,Die Angelegenheit,Die Angelegenheiten,Die,Angelegenheit,angelegenheit,1
Silence,Die Stille,-,Die,Stille,stille,1
Top,Die Spitze,Die Spitzen,Die,Spitze,spitze,1
Rock,Der Felsen,Die Felsen,Der,Felsen,felsen,0
Power,Die Macht,-,Die,Macht,macht,1
Clothes,Die Kleidung,-,Die,Kleidung,kleidung,1
Sign,Das Schild,Die Schilder,Das,Schild,schild,2
Attention,Die Aufmerksamkeit,-,Die,Aufmerksamkeit,aufmerksamkeit,1
Music,Die Musik,-,Die,Musik,musik,1
State,Der Zustand,Die Zustände,Der,Zustand,zustand,0
Dinner,Das Abendessen,Die Abendessen,Das,Abendessen,abendessen,2
Hall,Der Saal,Die Säle,Der,Saal,saal,0
Pain,Der Schmerz,Die Schmerzen,Der,Schmerz,schmerz,0
Age,Das Alter,-,Das,Alter,alter,2
River,Der Fluss,Die Flüsse,Der,Fluss,fluss,0
Chance,Die Chance,Die Chancen,Die,Chance,chance,1
Nose,Die Nase,Die Nasen,Die,Nase,nase,1
Shadow,Der Schatten,Die Schatten,Der,Schatten,schatten,0
Police,Die Polizei,-,Die,Polizei,polizei,1
Memory,Die Erinnerung,Die Erinnerungen,Die,Erinnerung,erinnerung,1
Color,Die Farbe,Die Farben,Die,Farbe,farbe,1
Knee,Das Knie,Die Knie,Das,Knie,knie,2
Wood,Das Holz,-,Das,Holz,holz,2
Shirt,Das Hemd,Die Hemden,Das,Hemd,hemd,2
Party,Die Party,Die Partys,Die,Party,party,1
Country,Das Land,Die Länder,Das,Land,land,2
Truck,Der Lastwagen,Die Lastwagen,Der,Lastwagen,lastwagen,0
Tooth,Der Zahn,Die Zähne,Der,Zahn,zahn,0
Bill,Die Rechnung,Die Rechnungen,Die,Rechnung,rechnung,1
Scene,Die Szene,Die Szenen,Die,Szene,szene,1
Star,Der Stern,Die Sterne,Der,Stern,stern,0
Bird,Der Vogel,Die Vögel,Der,Vogel,vogel,0
Bedroom,Das Schlafzimmer,Die Schlafzimmer,Das,Schlafzimmer,schlafzimmer,2
Uncle,Der Onkel,Die Onkel,Der,Onkel,onkel,0
Sort,Die Art,-,Die,Art,art,1
Group,Die Gruppe,Die Gruppen,Die,Gruppe,gruppe,1
Truth,Die Wahrheit,Die Wahrheiten,Die,Wahrheit,wahrheit,1
Trouble,Die Schwierigkeit,-,Die,Schwierigkeit,schwierigkeit,1
Crowd,Die Menschenmenge,Die Menschenmengen,Die,Menschenmenge,menschenmenge,1
Station,Der Bahnhof,Die Bahnhöfe,Der,Bahnhof,bahnhof,0
Tear,Die Träne,Die Tränen,Die,Träne,träne,1
Class,Die Klasse,Die Klassen,Die,Klasse,klasse,1
Sea,Das Meer,Die Meere,Das,Meer,meer,2
Animal,Das Tier,Die Tiere,Das,Tier,tier,2
Center,Das Zentrum,Die Zentren,Das,Zentrum,zentrum,2
Feeling,Das Gefühl,Die Gefühle,Das,Gefühl,gefühl,2
Mountain,Der Berg,Die Berge,Der,Berg,berg,0
News,Die Nachrichten,-,Die,Nachrichten,nachrichten,1
Shoe,Der Schuh,Die Schuhe,Der,Schuh,schuh,0
Cat,Die Katze,Die Katzen,Die,Katze,katze,1
Screen,Der Bildschirm,Die Bildschirme,Der,Bildschirm,bildschirm,0
Bottle,Die Flasche,Die Flaschen,Die,Flasche,flasche,1
Call,Der Anruf,Die Anrufe,Der,Anruf,anruf,0
Living,Das Wohnzimmer,Die Wohnzimmer,Das,Wohnzimmer,wohnzimmer,2
Cheek,Die Wange,Die Wangen,Die,Wange,wange,1
Student,Der Student,Die Studenten,Der,Student,student,0
Ball,Der Ball,Die Bälle,Der,Ball,ball,0
Sight,Der Anblick,Die Anblicke,Der,Anblick,anblick,0
Hill,Der Hügel,Die Hügel,Der,Hügel,hügel,0
Company,Das Unternehmen,Die Unternehmen,Das,Unternehmen,unternehmen,2
Church,Die Kirche,Die Kirchen,Die,Kirche,kirche,1
Rain,Der Regen,Die Regen,Der,Regen,regen,0
Suit,Der Anzug,Die Anzüge,Der,Anzug,anzug,0
One,Die Eins,-,Die,Eins,eins,1
Direction,Die Richtung,Die Richtungen,Die,Richtung,richtung,1
Will,Der Wille,-,Der,Wille,wille,0
Middle,Die Mitte,-,Die,Mitte,mitte,1
Answer,Die Antwort,Die Antworten,Die,Antwort,antwort,1
Stuff,Das Zeug,-,Das,Zeug,zeug,2
Hospital,Das Krankenhaus,Die Krankenhäuser,Das,Krankenhaus,krankenhaus,2
Camera,Die Kamera,Die Kameras,Die,Kamera,kamera,1
Dress,Das Kleid,Die Kleider,Das,Kleid,kleid,2
Card,Die Karte,Die Karten,Die,Karte,karte,1
Yard,Der Hof,Die Höfe,Der,Hof,hof,0
Dark,Die Dunkelheit,-,Die,Dunkelheit,dunkelheit,1
Shit,Die Scheiße,-,Die,Scheiße,scheiße,1
Machine,Die Maschine,Die Maschinen,Die,Maschine,maschine,1
Distance,Die Entfernung,Die Entfernungen,Die,Entfernung,entfernung,1
Area,Das Gebiet,Die Gebiete,Das,Gebiet,gebiet,2
Narrator,Der Erzähler,Die Erzähler,Der,Erzähler,erzähler,0
Ice,Das Eis,Die Eis,Das,Eis,eis,2
Snow,Der Schnee,-,Der,Schnee,schnee,0
Note,Die Notiz,Die Notizen,Die,Notiz,notiz,1
Mirror,Der Spiegel,Die Spiegel,Der,Spiegel,spiegel,0
King,Der König,Die Könige,Der,König,könig,0
Fear,Die Angst,-,Die,Angst,angst,1
Officer,Der Beamte,Die Beamten,Der,Beamte,beamte,0
Hole,Das Loch,Die Löcher,Das,Loch,loch,2
Shot,Der Schuss,Die Schüsse,Der,Schuss,schuss,0
Guard,Der Wächter,Die Wächter,Der,Wächter,wächter,0
Conversation,Das Gespräch,Die Gespräche,Das,Gespräch,gespräch,2
Boat,Das Boot,Die Boote,Das,Boot,boot,2
System,Das System,Die Systeme,Das,System,system,2
Care,Die Sorge,Die Sorgen,Die,Sorge,sorge,1
Bit,Das Bit,Die Bits,Das,Bit,bit,2
Movie,Der Film,Die Filme,Der,Film,film,0
Bone,Der Knochen,Die Knochen,Der,Knochen,knochen,0
Captain,Der Kapitän,Die Kapitäne,Der,Kapitän,kapitän,0
Aunt,Die Tante,Die Tanten,Die,Tante,tante,1
Control,Die Kontrolle,Die Kontrollen,Die,Kontrolle,kontrolle,1
Drink,Das Getränk,Die Getränke,Das,Getränk,getränk,2
Hotel,Das Hotel,Die Hotels,Das,Hotel,hotel,2
Coat,Der Mantel,Die Mäntel,Der,Mantel,mantel,0
Stair,Die Treppe,Die Treppen,Die,Treppe,treppe,1
Order,Die Bestellung,Die Bestellungen,Die,Bestellung,bestellung,1
Rose,Die Rose,Die Rosen,Die,Rose,rose,1
Miss,Die Miss,-,Die,Miss,miss,1
Hat,Der Hut,Die Hüte,Der,Hut,hut,0
Gold,Das Gold,-,Das,Gold,gold,2
Cigarette,Die Zigarette,Die Zigaretten,Die,Zigarette,zigarette,1
Cloud,Die Wolke,Die Wolken,Die,Wolke,wolke,1
View,Die Aussicht,Die Aussichten,Die,Aussicht,aussicht,1
Driver,Der Fahrer,Die Fahrer,Der,Fahrer,fahrer,0
Cup,Die Tasse,Die Tassen,Die,Tasse,tasse,1
Figure,Die Figur,Die Figuren,Die,Figur,figur,1
Expression,Der Ausdruck,Die Ausdrücke,Der,Ausdruck,ausdruck,0
Key,Der Schlüssel,Die Schlüssel,Der,Schlüssel,schlüssel,0
Computer,Der Computer,Die Computer,Der,Computer,computer,0
Flower,Die Blume,Die Blumen,Die,Blume,blume,1
Ring,Der Ring,Die Ringe,Der,Ring,ring,0
Bathroom,Das Badezimmer,Die Badezimmer,Das,Badezimmer,badezimmer,2
Metal,Das Metall,Die Metalle,Das,Metall,metall,2
Moon,Der Mond,Die Monde,Der,Mond,mond,0
Song,Das Lied,Die Lieder,Das,Lied,lied,2
Soldier,Der Soldat,Die Soldaten,Der,Soldat,soldat,0
Radio,Das Radio,Die Radios,Das,Radio,radio,2
Wave,Die Welle,Die Wellen,Die,Welle,welle,1
Plan,Der Plan,Die Pläne,Der,Plan,plan,0
College,Das College,Die Colleges,Das,College,college,2
Fish,Der Fisch,Die Fische,Der,Fisch,fisch,0
Garden,Der Garten,Die Gärten,Der,Garten,garten,0
Train,Der Zug,Die Züge,Der,Zug,zug,0
Cop,Der Polizist,Die Polizisten,Der,Polizist,polizist,0
Art,Die Kunst,-,Die,Kunst,kunst,1
Beer,Das Bier,Die Biere,Das,Bier,bier,2
North,Der Norden,-,Der,Norden,norden,0
Island,Die Insel,Die Inseln,Die,Insel,insel,1
Bus,Der Bus,Die Busse,Der,Bus,bus,0
Smell,Der Geruch,Die Gerüche,Der,Geruch,geruch,0
Noise,Das Geräusch,Die Geräusche,Das,Geräusch,geräusch,2
Park,Der Park,Die Parks,Der,Park,park,0
South,Der Süden,-,Der,Süden,süden,0
Plate,Der Teller,Die Teller,Der,Teller,teller,0
Jacket,Die Jacke,Die Jacken,Die,Jacke,jacke,1
Help,Die Hilfe,Die Hilfen,Die,Hilfe,hilfe,1
Daddy,Der Papa,Die Papas,Der,Papa,papa,0
Grass,Das Gras,Die Gräser,Das,Gras,gras,2
Thanks,Der Dank,Die Danksagungen,Der,Dank,dank,0
Heat,Die Hitze,-,Die,Hitze,hitze,1
Sleep,Der Schlaf,-,Der,Schlaf,schlaf,0
Brain,Das Gehirn,Die Gehirne,Das,Gehirn,gehirn,2
Service,Der Service,Die Services,Der,Service,service,0
Trip,Die Reise,Die Reisen,Die,Reise,reise,1
Beat,Der Schlag,Die Schläge,Der,Schlag,schlag,0
Knife,Das Messer,Die Messer,Das,Messer,messer,2
Spot,Der Fleck,Die Flecken,Der,Fleck,fleck,0
Message,Die Nachricht,Die Nachrichten,Die,Nachricht,nachricht,1
Mark,Das Zeichen,Die Zeichen,Das,Zeichen,zeichen,2
Teacher,Der Lehrer,Die Lehrer,Der,Lehrer,lehrer,0
Village,Das Dorf,Die Dörfer,Das,Dorf,dorf,2
Winter,Der Winter,Die Winter,Der,Winter,winter,0
Front,Die Front,Die Fronten,Die,Front,front,1
Law,Das Gesetz,Die Gesetze,Das,Gesetz,gesetz,2
Surface,Die Oberfläche,Die Oberflächen,Die,Oberfläche,oberfläche,1
Bank,Die Bank,Die Banken,Die,Bank,bank,1
Team,Das Team,Die Teams,Das,Team,team,2
Maximum,Das Maximum,Die Maxima,Das,Maximum,maximum,2
Position,Die Position,Die Positionen,Die,Position,position,1
Stomach,Der Magen,Die Mägen,Der,Magen,magen,0
Turn,Die Wende,-,Die,Wende,wende,1
West,Der Westen,-,Der,Westen,westen,0
Lunch,Das Mittagessen,Die Mittagessen,Das,Mittagessen,mittagessen,2
Change,Die Veränderung,Die Veränderungen,Die,Veränderung,veränderung,1
Creature,Das Lebewesen,Die Lebewesen,Das,Lebewesen,lebewesen,2
Soul,Die Seele,Die Seelen,Die,Seele,seele,1
Leaf,Das Blatt,Die Blätter,Das,Blatt,blatt,2
Show,Die Show,Die Shows,Die,Show,show,1
Gate,Das Tor,Die Tore,Das,Tor,tor,2
Palm,Die Palme,Die Palmen,Die,Palme,palme,1
Plastic,Das Plastik,-,Das,Plastik,plastik,2
Force,Die Kraft,Die Kräfte,Die,Kraft,kraft,1
Beach,Der Strand,Die Strände,Der,Strand,strand,0
President,Der Präsident,Die Präsidenten,Der,Präsident,präsident,0
Shape,Die Form,Die Formen,Die,Form,form,1
Smoke,Der Rauch,Die Rauch,Der,Rauch,rauch,0
Wheel,Das Rad,Die Räder,Das,Rad,rad,2
Silver,Das Silber,-,Das,Silber,silber,2
Roof,Das Dach,Die Dächer,Das,Dach,dach,2
Weight,Das Gewicht,Die Gewichte,Das,Gewicht,gewicht,2
Tongue,Die Zunge,Die Zungen,Die,Zunge,zunge,1
Tea,Der Tee,Die Tees,Der,Tee,tee,0
Track,Die Strecke,Die Strecken,Die,Strecke,strecke,1
Angle,Der Winkel,Die Winkel,Der,Winkel,winkel,0
Tone,Der Ton,Die Töne,Der,Ton,ton,0
Circle,Der Kreis,Die Kreise,Der,Kreis,kreis,0
Spring,Der Frühling,Die Frühlinge,Der,Frühling,frühling,0
Porch,Die Veranda,Die Veranden,Die,Veranda,veranda,1
Member,Das Mitglied,Die Mitglieder,Das,Mitglied,mitglied,2
Pool,Der Pool,Die Pools,Der,Pool,pool,0
Need,Das Bedürfnis,Die Bedürfnisse,Das,Bedürfnis,bedürfnis,2
Hope,Die Hoffnung,Die Hoffnungen,Die,Hoffnung,hoffnung,1
Lake,Der See,Die Seen,Der,See,see,0
Surprise,Die Überraschung,Die Überraschungen,Die,Überraschung,überraschung,1
Interest,Das Interesse,-,Das,Interesse,interesse,2
Spirit,Der Geist,Die Geister,Der,Geist,geist,0
Block,Der Block,Die Blöcke,Der,Block,block,0
Language,Die Sprache,Die Sprachen,Die,Sprache,sprache,1
Bridge,Die Brücke,Die Brücken,Die,Brücke,brücke,1
Dust,Der Staub,-,Der,Staub,staub,0
Cell,Die Zelle,Die Zellen,Die,Zelle,zelle,1
Wine,Der Wein,Die Weine,Der,Wein,wein,0
Boot,Der Stiefel,Die Stiefel,Der,Stiefel,stiefel,0
Choice,Die Wahl,Die Wahlen,Die,Wahl,wahl,1
Row,Die Reihe,Die Reihen,Die,Reihe,reihe,1
Plane,Das Flugzeug,Die Flugzeuge,Das,Flugzeug,flugzeug,2
Watch,Die Uhr,Die Uhren,Die,Uhr,uhr,1
Information,Die Information,Die Informationen,Die,Information,information,1
Grandmother,Die Großmutter,-,Die,Großmutter,großmutter,1
Wing,Der Flügel,Die Flügel,Der,Flügel,flügel,0
Bob,Der Bob,Die Bobs,Der,Bob,bob,0
Club,Der Club,Die Clubs,Der,Club,club,0
Master,Der Meister,Die Meister,Der,Meister,meister,0
Grace,Die Gnade,Die Gnaden,Die,Gnade,gnade,1
Forest,Der Wald,Die Wälder,Der,Wald,wald,0
Size,Die Größe,Die Größen,Die,Größe,größe,1
Set,Der Satz,Die Sätze,Der,Satz,satz,0
Marriage,Die Ehe,Die Ehen,Die,Ehe,ehe,1
Forehead,Die Stirn,Die Stirnen,Die,Stirn,stirn,1
Storm,Der Sturm,Die Stürme,Der,Sturm,sturm,0
Doorway,Der Durchgang,Die Durchgänge,Der,Durchgang,durchgang,0
Situation,Die Situation,Die Situationen,Die,Situation,situation,1
Counter,Die Theke,Die Theken,Die,Theke,theke,1
Neighbor,Der Nachbar,Die Nachbarn,Der,Nachbar,nachbar,0
Photo,Das Foto,Die Fotos,Das,Foto,foto,2
Stage,Die Bühne,Die Bühnen,Die,Bühne,bühne,1
Meeting,Das Treffen,Die Treffen,Das,Treffen,treffen,2
Nurse,Die Krankenschwester,Die Krankenschwestern,Die,Krankenschwester,krankenschwester,1
Security,Die Sicherheit,Die Sicherheiten,Die,Sicherheit,sicherheit,1
Event,Das Ereignis,Die Ereignisse,Das,Ereignis,ereignis,2
Ceiling,Die Decke,Die Decken,Die,Decke,decke,1
Engine,Der Motor,Die Motoren,Der,Motor,motor,0
Gift,Das Geschenk,Die Geschenke,Das,Geschenk,geschenk,2
Restaurant,Das Restaurant,Die Restaurants,Das,Restaurant,restaurant,2
Board,Das Brett,Die Bretter,Das,Brett,brett,2
Hallway,Der Flur,Die Flure,Der,Flur,flur,0
Army,Die Armee,-,Die,Armee,armee,1
Effort,Der Aufwand,Die Aufwände,Der,Aufwand,aufwand,0
East,Der Osten,-,Der,Osten,osten,0
Agent,Der Agent,Die Agenten,Der,Agent,agent,0
Future,Die Zukunft,Die Zukunft,Die,Zukunft,zukunft,1
Pant,Die Hose,Die Hosen,Die,Hose,hose,1
Leather,Das Leder,-,Das,Leder,leder,2
Flight,Der Flug,Die Flüge,Der,Flug,flug,0
Sex,Der Sex,-,Der,Sex,sex,0
Court,Das Gericht,Die Gerichte,Das,Gericht,gericht,2
Course,Der Kurs,Die Kurse,Der,Kurs,kurs,0
Dirt,Der Schmutz,-,Der,Schmutz,schmutz,0
Egg,Das Ei,Die Eier,Das,Ei,ei,2
Chin,Das Kinn,Die Kinne,Das,Kinn,kinn,2
Stranger,Der Fremde,Die Fremden,Der,Fremde,fremde,0
Pleasure,Das Vergnügen,Die Vergnügen,Das,Vergnügen,vergnügen,2
Detail,Das Detail,Die Details,Das,Detail,detail,2
Crew,Die Besatzung,Die Besatzungen,Die,Besatzung,besatzung,1
Fall,Der Herbst,Die Fälle,Der,Herbst,herbst,0
Guest,Der Gast,Die Gäste,Der,Gast,gast,0
Experience,Die Erfahrung,Die Erfahrungen,Die,Erfahrung,erfahrung,1
Joke,Der Witz,Die Witze,Der,Witz,witz,0
Sand,Der Sand,-,Der,Sand,sand,0
Fist,Die Faust,Die Fäuste,Die,Faust,faust,1
Action,Die Aktion,Die Aktionen,Die,Aktion,aktion,1
Walk,Der Spaziergang,Die Spaziergänge,Der,Spaziergang,spaziergang,0
Wedding,Die Hochzeit,Die Hochzeiten,Die,Hochzeit,hochzeit,1
Nature,Die Natur,-,Die,Natur,natur,1
Planet,Der Planet,Die Planeten,Der,Planet,planet,0
Cousin,Der Cousin,Die Cousins,Der,Cousin,cousin,0
Movement,Die Bewegung,Die Bewegungen,Die,Bewegung,bewegung,1
Flesh,Das Fleisch,-,Das,Fleisch,fleisch,2
Record,Der Rekord,Die Rekorde,Der,Rekord,rekord,0
Camp,Das Lager,Die Lager,Das,Lager,lager,2
Newspaper,Die Zeitung,Die Zeitungen,Die,Zeitung,zeitung,1
Ray,Der Strahl,Die Strahlen,Der,Strahl,strahl,0
Human,Der Mensch,Die Menschen,Der,Mensch,mensch,0
Couch,Die Couch,Die Couches,Die,Couch,couch,1
Grandfather,Der Großvater,Die Großväter,Der,Großvater,großvater,0
Secret,Das Geheimnis,Die Geheimnisse,Das,Geheimnis,geheimnis,2
Beauty,Die Schönheit,Die Schönheiten,Die,Schönheit,schönheit,1
Presence,Die Anwesenheit,-,Die,Anwesenheit,anwesenheit,1
Bell,Die Glocke,Die Glocken,Die,Glocke,glocke,1
Folk,Das Volk,-,Das,Volk,volk,2
Button,Der Knopf,Die Knöpfe,Der,Knopf,knopf,0
List,Die Liste,Die Listen,Die,Liste,liste,1
Level,Das Level,Die Level,Das,Level,level,2
Date,Das Datum,Die Daten,Das,Datum,datum,2
Subject,Das Fach,Die Fächer,Das,Fach,fach,2
Difference,Der Unterschied,Die Unterschiede,Der,Unterschied,unterschied,0
Pause,Die Pause,Die Pausen,Die,Pause,pause,1
Van,Der Lieferwagen,Die Lieferwagen,Der,Lieferwagen,lieferwagen,0
Blade,Die Klinge,Die Klingen,Die,Klinge,klinge,1
Television,Das Fernsehen,Die Fernseher,Das,Fernsehen,fernsehen,2
Cover,Die Abdeckung,Die Abdeckungen,Die,Abdeckung,abdeckung,1
