english,singular,plural,article,noun,x,y,possessive,croatian
Place,Der Ort,Die Orte,Der,Ort,ort,0,Mein Ort,Moje mjesto
Boy,Der Junge,Die Jungen,Der,Junge,junge,0,Mein Junge,Moj dječače
Car,Das Auto,Die Autos,Das,Auto,auto,2,Mein Auto,Moj auto
Side,Die Seite,Die Seiten,Die,Seite,seite,1,Meine Seite,Moja stranica
Arm,Der Arm,Die Arme,Der,Arm,arm,0,Mein Arm,Moja ruka
Child,Das Kind,Die Kinder,Das,Kind,kind,2,Mein Kind,Moje dijete
Word,Das Wort,Die Wörter,Das,Wort,wort,2,Mein Wort,Moja riječ
Moment,Der Moment,Die Momente,Der,Moment,moment,0,Mein Moment,Moj trenutak
Hair,Das Haar,Die Haare,Das,Haar,haar,2,Mein Haar,Moja kosa
Foot,Der Fuß,Die Füße,Der,Fuß,fuß,0,Mein Fuß,Moje stopalo
Water,Das Wasser,-,Das,Wasser,wasser,2,Mein Wasser,Moja voda
Light,Das Licht,Die Lichter,Das,Licht,licht,2,Mein Licht,Moje svjetlo
World,Die Welt,Die Welten,Die,Welt,welt,1,Meine Welt,Moj svijet
Name,Der Name,Die Namen,Der,Name,name,0,Mein Name,Moje ime
Friend,Der Freund,Die Freunde,Der,Freund,freund,0,Mein Freund,Moj prijatelj
Window,Das Fenster,Die Fenster,Das,Fenster,fenster,2,Mein Fenster,Moj prozor
Body,Der Körper,Die Körper,Der,Körper,körper,0,Mein Körper,Moje tijelo
Table,Der Tisch,Die Tische,Der,Tisch,tisch,0,Mein Tisch,Moj stol
Morning,Der Morgen,Die Morgen,Der,Morgen,morgen,0,Mein Morgen,Moje jutro
Bed,Das Bett,Die Betten,Das,Bett,bett,2,Mein Bett,Moj krevet
Wall,Die Wand,Die Wände,Die,Wand,wand,1,Meine Wand,Moj zid
Street,Die Straße,Die Straßen,Die,Straße,straße,1,Meine Straße,Moja ulica
School,Die Schule,Die Schulen,Die,Schule,schule,1,Meine Schule,Moja škola
Air,Die Luft,-,Die,Luft,luft,1,Meine Luft,Moj zrak
Floor,Der Boden,Die Böden,Der,Boden,boden,0,Mein Boden,Moj kat
Hour,Die Stunde,Die Stunden,Die,Stunde,stunde,1,Meine Stunde,Moja lekcija
End,Das Ende,Die Enden,Das,Ende,ende,2,Mein Ende,Moj kraj
Family,Die Familie,Die Familien,Die,Familie,familie,1,Meine Familie,Moji ljudi
Guy,Der Kerl,Die Kerle,Der,Kerl,kerl,0,Mein Kerl,Moj momak
Kind,Das Kind,Die Kinder,Das,Kind,kind,2,Mein Kind,Moje dijete
Minute,Die Minute,Die Minuten,Die,Minute,minute,1,Meine Minute,Moja minuta
Story,Die Geschichte,Die Geschichten,Die,Geschichte,geschichte,1,Meine Geschichte,Moja priča
God,Der Gott,Die Götter,Der,Gott,gott,0,Mein Gott,Bože moj
Week,Die Woche,Die Wochen,Die,Woche,woche,1,Meine Woche,Moj tjedan
Work,Die Arbeit,-,Die,Arbeit,arbeit,1,Meine Arbeit,Moj rad
Shoulder,Die Schulter,Die Schultern,Die,Schulter,schulter,1,Meine Schulter,Moje rame
Part,Der Teil,Die Teile,Der,Teil,teil,0,Mein Teil,Moj dio
Mind,Der Verstand,-,Der,Verstand,verstand,0,Mein Verstand,Moj um
Book,Das Buch,Die Bücher,Das,Buch,buch,2,Mein Buch,Moja knjiga
Finger,Der Finger,Die Finger,Der,Finger,finger,0,Mein Finger,Moj prst
Mouth,Der Mund,Die Münder,Der,Mund,mund,0,Mein Mund,Moja usta
Kid,Das Kind,Die Kinder,Das,Kind,kind,2,Mein Kind,Moje dijete
Glass,Das Glas,Die Gläser,Das,Glas,glas,2,Mein Glas,Moja čaša
Tree,Der Baum,Die Bäume,Der,Baum,baum,0,Mein Baum,Moje stablo
Sound,Der Klang,Die Klänge,Der,Klang,klang,0,Mein Klang,Moj zvuk
Line,Die Linie,Die Linien,Die,Linie,linie,1,Meine Linie,Moja linija
Wife,Die Ehefrau,Die Ehefrauen,Die,Ehefrau,ehefrau,1,Meine Ehefrau,Moja žena
Heart,Das Herz,Die Herzen,Das,Herz,herz,2,Mein Herz,Moje srce
Money,Das Geld,-,Das,Geld,geld,2,Mein Geld,Moj novac
Phone,Das Telefon,Die Telefone,Das,Telefon,telefon,2,Mein Telefon,Moj telefon
Look,Der Blick,Die Blicke,Der,Blick,blick,0,Mein Blick,Moj pogled
Leg,Das Bein,Die Beine,Das,Bein,bein,2,Mein Bein,Moja noga
Chair,Der Stuhl,Die Stühle,Der,Stuhl,stuhl,0,Mein Stuhl,Moja stolica
Office,Das Büro,Die Büros,Das,Büro,büro,2,Mein Büro,Moj ured
Brother,Der Bruder,Die Brüder,Der,Bruder,bruder,0,Mein Bruder,Moj brat
Question,Die Frage,Die Fragen,Die,Frage,frage,1,Meine Frage,Moje pitanje
City,Die Stadt,Die Städte,Die,Stadt,stadt,1,Meine Stadt,Moj grad
Month,Der Monat,Die Monate,Der,Monat,monat,0,Mein Monat,Moj mjesec
Baby,Das Baby,Die Babys,Das,Baby,baby,2,Mein Baby,Dušo moja
Home,Das Zuhause,Die Zuhause,Das,Zuhause,zuhause,2,Mein Zuhause,Moj dom
Dog,Der Hund,Die Hunde,Der,Hund,hund,0,Mein Hund,Moj pas
Road,Die Straße,Die Straßen,Die,Straße,straße,1,Meine Straße,Moja ulica
Idea,Die Idee,Die Ideen,Die,Idee,idee,1,Meine Idee,Moja ideja
Kitchen,Die Küche,Die Küchen,Die,Küche,küche,1,Meine Küche,Moja kuhinja
Lot,Das Grundstück,Die Grundstücke,Das,Grundstück,grundstück,2,Mein Grundstück,Moje vlasništvo
Son,Der Sohn,Die Söhne,Der,Sohn,sohn,0,Mein Sohn,Moj sin
Job,Der Job,Die Jobs,Der,Job,job,0,Mein Job,Moj posao
Paper,Das Papier,Die Papiere,Das,Papier,papier,2,Mein Papier,Moj rad
Sister,Die Schwester,Die Schwestern,Die,Schwester,schwester,1,Meine Schwester,Moja sestra
Smile,Das Lächeln,Die Lächeln,Das,Lächeln,lächeln,2,Mein Lächeln,Moj osmijeh
Point,Der Punkt,Die Punkte,Der,Punkt,punkt,0,Mein Punkt,Moja poanta
Thought,Der Gedanke,Die Gedanken,Der,Gedanke,gedanke,0,Mein Gedanke,Moja misao
Love,Die Liebe,-,Die,Liebe,liebe,1,Meine Liebe,Ljubavi moja
Town,Die Stadt,Die Städte,Die,Stadt,stadt,1,Meine Stadt,Moj grad
Death,Der Tod,Die Tode,Der,Tod,tod,0,Mein Tod,Moja smrt
Ground,Der Boden,Die Böden,Der,Boden,boden,0,Mein Boden,Moj kat
Others,Die Anderen,-,Die,Anderen,anderen,1,Meine Anderen,Moji ostali
Fire,Das Feuer,Die Feuer,Das,Feuer,feuer,2,Mein Feuer,Moja vatra
Step,Der Schritt,Die Schritte,Der,Schritt,schritt,0,Mein Schritt,Moj korak
Blood,Das Blut,-,Das,Blut,blut,2,Mein Blut,Moja krv
Fact,Die Tatsache,Die Tatsachen,Die,Tatsache,tatsache,1,Meine Tatsache,Moja činjenica
Breath,Der Atem,Die Atemzüge,Der,Atem,atem,0,Mein Atem,Moj dah
Lip,Die Lippe,Die Lippen,Die,Lippe,lippe,1,Meine Lippe,Moja usna
Sun,Die Sonne,Die Sonnen,Die,Sonne,sonne,1,Meine Sonne,Moje sunce
Building,Das Gebäude,Die Gebäude,Das,Gebäude,gebäude,2,Mein Gebäude,Moja zgrada
Number,Die Nummer,Die Nummern,Die,Nummer,nummer,1,Meine Nummer,Moj broj
Husband,Der Ehemann,Die Ehemänner,Der,Ehemann,ehemann,0,Mein Ehemann,Moj muž
Parent,Der Elternteil,Die Elternteile,Der,Elternteil,elternteil,0,Mein Elternteil,Moj roditelj
Corner,Die Ecke,Die Ecken,Die,Ecke,ecke,1,Meine Ecke,Moj kutak
Problem,Das Problem,Die Probleme,Das,Problem,problem,2,Mein Problem,Moj problem
Couple,Das Paar,Die Paare,Das,Paar,paar,2,Mein Paar,Moj par
Daughter,Die Tochter,Die Töchter,Die,Tochter,tochter,1,Meine Tochter,Moja kći
Bag,Die Tasche,Die Taschen,Die,Tasche,tasche,1,Meine Tasche,Moja torba
Hell,Die Hölle,-,Die,Hölle,hölle,1,Meine Hölle,Moj pakao
Rest,Die Ruhe,-,Die,Ruhe,ruhe,1,Meine Ruhe,Moj odmor
Business,Das Geschäft,Die Geschäfte,Das,Geschäft,geschäft,2,Mein Geschäft,Moj posao
Sky,Der Himmel,Die Himmel,Der,Himmel,himmel,0,Mein Himmel,Moje nebo
Box,Die Schachtel,Die Schachteln,Die,Schachtel,schachtel,1,Meine Schachtel,Moja kutija
Person,Die Person,Die Personen,Die,Person,person,1,Meine Person,Moja osoba
Reason,Der Grund,Die Gründe,Der,Grund,grund,0,Mein Grund,Moj razlog
Right,Das Recht,-,Das,Recht,recht,2,Mein Recht,Moje pravo
Skin,Die Haut,Die Häute,Die,Haut,haut,1,Meine Haut,Moja koža
Dad,Der Vater,Die Väter,Der,Vater,vater,0,Mein Vater,Moj otac
Case,Der Fall,Die Fälle,Der,Fall,fall,0,Mein Fall,Moj slučaj
Piece,Das Stück,Die Stücke,Das,Stück,stück,2,Mein Stück,Moj članak
Doctor,Der Arzt,Die Ärzte,Der,Arzt,arzt,0,Mein Arzt,Moj liječnik
Edge,Der Rand,Die Ränder,Der,Rand,rand,0,Mein Rand,Moj rub
Mom,Die Mutter,Die Mütter,Die,Mutter,mutter,1,Meine Mutter,Moja majka
Picture,Das Bild,Die Bilder,Das,Bild,bild,2,Mein Bild,Moja slika
Sense,Der Sinn,Die Sinne,Der,Sinn,sinn,0,Mein Sinn,Moja svrha
Ear,Das Ohr,Die Ohren,Das,Ohr,ohr,2,Mein Ohr,Moje uho
Second,Die Sekunde,Die Sekunden,Die,Sekunde,sekunde,1,Meine Sekunde,Moj drugi
Lady,Die Dame,Die Damen,Die,Dame,dame,1,Meine Dame,Dama
Neck,Der Hals,Die Hälse,Der,Hals,hals,0,Mein Hals,Moj vrat
Wind,Der Wind,Die Winde,Der,Wind,wind,0,Mein Wind,Moj vjetar
Desk,Der Schreibtisch,Die Schreibtische,Der,Schreibtisch,schreibtisch,0,Mein Schreibtisch,Moj radni stol
Gun,Die Waffe,Die Waffen,Die,Waffe,waffe,1,Meine Waffe,Moje oružje
Stone,Der Stein,Die Steine,Der,Stein,stein,0,Mein Stein,Moj kamen
Coffee,Der Kaffee,Die Kaffees,Der,Kaffee,kaffee,0,Mein Kaffee,Moja kava
Ship,Das Schiff,Die Schiffe,Das,Schiff,schiff,2,Mein Schiff,Mein Schiff
Earth,Die Erde,-,Die,Erde,erde,1,Meine Erde,Moja Zemlja
Food,Das Essen,-,Das,Essen,essen,2,Mein Essen,Moja hrana
Horse,Das Pferd,Die Pferde,Das,Pferd,pferd,2,Mein Pferd,Moj konj
Field,Das Feld,Die Felder,Das,Feld,feld,2,Mein Feld,Moje područje
War,Der Krieg,Die Kriege,Der,Krieg,krieg,0,Mein Krieg,Moj rat
Afternoon,Der Nachmittag,Die Nachmittage,Der,Nachmittag,nachmittag,0,Mein Nachmittag,Moje poslijepodne
Sir,Der Herr,Die Herren,Der,Herr,herr,0,Mein Herr,Gospodaru
Space,Der Raum,Die Räume,Der,Raum,raum,0,Mein Raum,Moj prostor
Evening,Der Abend,Die Abende,Der,Abend,abend,0,Mein Abend,Moja večer
Letter,Der Brief,Die Briefe,Der,Brief,brief,0,Mein Brief,Moje pismo
Bar,Die Bar,Die Bars,Die,Bar,bar,1,Meine Bar,Moj bar
Dream,Der Traum,Die Träume,Der,Traum,traum,0,Mein Traum,Moj san
Apartment,Die Wohnung,Die Wohnungen,Die,Wohnung,wohnung,1,Meine Wohnung,Moj stan
Chest,Die Brust,Die Brüste,Die,Brust,brust,1,Meine Brust,Moja prsa
Game,Das Spiel,Die Spiele,Das,Spiel,spiel,2,Mein Spiel,Moja igra
Summer,Der Sommer,Die Sommer,Der,Sommer,sommer,0,Mein Sommer,Moje ljeto
Matter,Die Angelegenheit,Die Angelegenheiten,Die,Angelegenheit,angelegenheit,1,Meine Angelegenheit,Moja afera
Silence,Die Stille,-,Die,Stille,stille,1,Meine Stille,Moja šutnja
Top,Die Spitze,Die Spitzen,Die,Spitze,spitze,1,Meine Spitze,Moja čipka
Rock,Der Felsen,Die Felsen,Der,Felsen,felsen,0,Mein Felsen,Moja stijena
Power,Die Macht,-,Die,Macht,macht,1,Meine Macht,Moja moć
Clothes,Die Kleidung,-,Die,Kleidung,kleidung,1,Meine Kleidung,Moja odjeća
Sign,Das Schild,Die Schilder,Das,Schild,schild,2,Mein Schild,Moj štit
Attention,Die Aufmerksamkeit,-,Die,Aufmerksamkeit,aufmerksamkeit,1,Meine Aufmerksamkeit,Moja pažnja
Music,Die Musik,-,Die,Musik,musik,1,Meine Musik,Moja glazba
State,Der Zustand,Die Zustände,Der,Zustand,zustand,0,Mein Zustand,Moje stanje
Pocket,Die Tasche,Die Taschen,Die,Tasche,tasche,1,Meine Tasche,Moja torba
Dinner,Das Abendessen,Die Abendessen,Das,Abendessen,abendessen,2,Mein Abendessen,Moja večera
Hall,Der Saal,Die Säle,Der,Saal,saal,0,Mein Saal,Moja dvorana
Pain,Der Schmerz,Die Schmerzen,Der,Schmerz,schmerz,0,Mein Schmerz,Moja bol
Age,Das Alter,-,Das,Alter,alter,2,Mein Alter,Moje godine
River,Der Fluss,Die Flüsse,Der,Fluss,fluss,0,Mein Fluss,Moj tijek
Chance,Die Chance,Die Chancen,Die,Chance,chance,1,Meine Chance,Moja šansa
Nose,Die Nase,Die Nasen,Die,Nase,nase,1,Meine Nase,Moj nos
Shadow,Der Schatten,Die Schatten,Der,Schatten,schatten,0,Mein Schatten,Moja sjena
Police,Die Polizei,-,Die,Polizei,polizei,1,Meine Polizei,Moja policija
Memory,Die Erinnerung,Die Erinnerungen,Die,Erinnerung,erinnerung,1,Meine Erinnerung,Moje pamćenje
Color,Die Farbe,Die Farben,Die,Farbe,farbe,1,Meine Farbe,Moja boja
Knee,Das Knie,Die Knie,Das,Knie,knie,2,Mein Knie,Moje koljeno
Wood,Das Holz,-,Das,Holz,holz,2,Mein Holz,Moje drvo
Shirt,Das Hemd,Die Hemden,Das,Hemd,hemd,2,Mein Hemd,Moja košulja
Party,Die Party,Die Partys,Die,Party,party,1,Meine Party,Moja zabava
Country,Das Land,Die Länder,Das,Land,land,2,Mein Land,Moja zemlja
Truck,Der Lastwagen,Die Lastwagen,Der,Lastwagen,lastwagen,0,Mein Lastwagen,Moj kamion
Tooth,Der Zahn,Die Zähne,Der,Zahn,zahn,0,Mein Zahn,Moj zub
Bill,Die Rechnung,Die Rechnungen,Die,Rechnung,rechnung,1,Meine Rechnung,Moj račun
Scene,Die Szene,Die Szenen,Die,Szene,szene,1,Meine Szene,Moja scena
Land,Das Land,Die Länder,Das,Land,land,2,Mein Land,Moja zemlja
Star,Der Stern,Die Sterne,Der,Stern,stern,0,Mein Stern,Moja zvijezda
Bird,Der Vogel,Die Vögel,Der,Vogel,vogel,0,Mein Vogel,Moja ptica
Bedroom,Das Schlafzimmer,Die Schlafzimmer,Das,Schlafzimmer,schlafzimmer,2,Mein Schlafzimmer,Moja spavaća soba
Uncle,Der Onkel,Die Onkel,Der,Onkel,onkel,0,Mein Onkel,Moj ujak
Sort,Die Art,-,Die,Art,art,1,Meine Art,Moj način
Group,Die Gruppe,Die Gruppen,Die,Gruppe,gruppe,1,Meine Gruppe,Moja grupa
Truth,Die Wahrheit,Die Wahrheiten,Die,Wahrheit,wahrheit,1,Meine Wahrheit,Moja istina
Trouble,Die Schwierigkeit,-,Die,Schwierigkeit,schwierigkeit,1,Meine Schwierigkeit,Moja poteškoća
Crowd,Die Menschenmenge,Die Menschenmengen,Die,Menschenmenge,menschenmenge,1,Meine Menschenmenge,Moja publika
Station,Der Bahnhof,Die Bahnhöfe,Der,Bahnhof,bahnhof,0,Mein Bahnhof,Moja stanica
Tear,Die Träne,Die Tränen,Die,Träne,träne,1,Meine Träne,Moja suza
Class,Die Klasse,Die Klassen,Die,Klasse,klasse,1,Meine Klasse,Moj razred
Sea,Das Meer,Die Meere,Das,Meer,meer,2,Mein Meer,Moje more
Animal,Das Tier,Die Tiere,Das,Tier,tier,2,Mein Tier,Moja životinja
Center,Das Zentrum,Die Zentren,Das,Zentrum,zentrum,2,Mein Zentrum,Moj centar
Feeling,Das Gefühl,Die Gefühle,Das,Gefühl,gefühl,2,Mein Gefühl,Moj osjećaj
Store,Das Geschäft,Die Geschäfte,Das,Geschäft,geschäft,2,Mein Geschäft,Moj posao
Mountain,Der Berg,Die Berge,Der,Berg,berg,0,Mein Berg,Moja planina
News,Die Nachrichten,-,Die,Nachrichten,nachrichten,1,Meine Nachrichten,Moje poruke
Shoe,Der Schuh,Die Schuhe,Der,Schuh,schuh,0,Mein Schuh,Moja cipela
Cat,Die Katze,Die Katzen,Die,Katze,katze,1,Meine Katze,Moja mačka
Screen,Der Bildschirm,Die Bildschirme,Der,Bildschirm,bildschirm,0,Mein Bildschirm,Moj zaslon
Bottle,Die Flasche,Die Flaschen,Die,Flasche,flasche,1,Meine Flasche,Moja boca
Call,Der Anruf,Die Anrufe,Der,Anruf,anruf,0,Mein Anruf,Moj poziv
Living,Das Wohnzimmer,Die Wohnzimmer,Das,Wohnzimmer,wohnzimmer,2,Mein Wohnzimmer,Moja dnevna soba
Cheek,Die Wange,Die Wangen,Die,Wange,wange,1,Meine Wange,Moj obraz
Student,Der Student,Die Studenten,Der,Student,student,0,Mein Student,Moj učenik
Ball,Der Ball,Die Bälle,Der,Ball,ball,0,Mein Ball,Moja lopta
Sight,Der Anblick,Die Anblicke,Der,Anblick,anblick,0,Mein Anblick,Moj vid
Hill,Der Hügel,Die Hügel,Der,Hügel,hügel,0,Mein Hügel,Moje brdo
Company,Das Unternehmen,Die Unternehmen,Das,Unternehmen,unternehmen,2,Mein Unternehmen,Moja tvrtka
Church,Die Kirche,Die Kirchen,Die,Kirche,kirche,1,Meine Kirche,Moja Crkva
Rain,Der Regen,Die Regen,Der,Regen,regen,0,Mein Regen,Moja kiša
Suit,Der Anzug,Die Anzüge,Der,Anzug,anzug,0,Mein Anzug,Moje odijelo
One,Die Eins,-,Die,Eins,eins,1,Meine Eins,Moja jedina
Direction,Die Richtung,Die Richtungen,Die,Richtung,richtung,1,Meine Richtung,Moj smjer
Will,Der Wille,-,Der,Wille,wille,0,Mein Wille,Moja volja
Throat,Der Hals,Die Hälse,Der,Hals,hals,0,Mein Hals,Moj vrat
Middle,Die Mitte,-,Die,Mitte,mitte,1,Meine Mitte,Moj centar
Answer,Die Antwort,Die Antworten,Die,Antwort,antwort,1,Meine Antwort,Moj odgovor
Stuff,Das Zeug,-,Das,Zeug,zeug,2,Mein Zeug,Moje stvari
Hospital,Das Krankenhaus,Die Krankenhäuser,Das,Krankenhaus,krankenhaus,2,Mein Krankenhaus,Moja bolnica
Camera,Die Kamera,Die Kameras,Die,Kamera,kamera,1,Meine Kamera,Moj fotoaparat
Dress,Das Kleid,Die Kleider,Das,Kleid,kleid,2,Mein Kleid,Moja haljina
Card,Die Karte,Die Karten,Die,Karte,karte,1,Meine Karte,Moja kartica
Yard,Der Hof,Die Höfe,Der,Hof,hof,0,Mein Hof,Moja farma
Dark,Die Dunkelheit,-,Die,Dunkelheit,dunkelheit,1,Meine Dunkelheit,Moja tama
Shit,Die Scheiße,-,Die,Scheiße,scheiße,1,Meine Scheiße,Moje sranje
Image,Das Bild,Die Bilder,Das,Bild,bild,2,Mein Bild,Moja slika
Machine,Die Maschine,Die Maschinen,Die,Maschine,maschine,1,Meine Maschine,Moj stroj
Distance,Die Entfernung,Die Entfernungen,Die,Entfernung,entfernung,1,Meine Entfernung,Moja udaljenost
Area,Das Gebiet,Die Gebiete,Das,Gebiet,gebiet,2,Mein Gebiet,Moje područje
Narrator,Der Erzähler,Die Erzähler,Der,Erzähler,erzähler,0,Mein Erzähler,Moj pripovjedač
Ice,Das Eis,Die Eis,Das,Eis,eis,2,Mein Eis,Moj sladoled
Snow,Der Schnee,-,Der,Schnee,schnee,0,Mein Schnee,Moj snijeg
Note,Die Notiz,Die Notizen,Die,Notiz,notiz,1,Meine Notiz,Moja bilješka
Mirror,Der Spiegel,Die Spiegel,Der,Spiegel,spiegel,0,Mein Spiegel,Moje ogledalo
King,Der König,Die Könige,Der,König,könig,0,Mein König,Moj kralju
Fear,Die Angst,-,Die,Angst,angst,1,Meine Angst,Moj strah
Officer,Der Beamte,Die Beamten,Der,Beamte,beamte,0,Mein Beamte,Moj službeni
Hole,Das Loch,Die Löcher,Das,Loch,loch,2,Mein Loch,Moja rupa
Shot,Der Schuss,Die Schüsse,Der,Schuss,schuss,0,Mein Schuss,Moja prilika
Guard,Der Wächter,Die Wächter,Der,Wächter,wächter,0,Mein Wächter,Moj skrbnik
Conversation,Das Gespräch,Die Gespräche,Das,Gespräch,gespräch,2,Mein Gespräch,Moj razgovor
Boat,Das Boot,Die Boote,Das,Boot,boot,2,Mein Boot,Moj brod
System,Das System,Die Systeme,Das,System,system,2,Mein System,Moj sustav
Care,Die Sorge,Die Sorgen,Die,Sorge,sorge,1,Meine Sorge,Moja briga
Bit,Das Bit,Die Bits,Das,Bit,bit,2,Mein Bit,Moj dio
Movie,Der Film,Die Filme,Der,Film,film,0,Mein Film,Moj film
Bone,Der Knochen,Die Knochen,Der,Knochen,knochen,0,Mein Knochen,Moja kost
Page,Die Seite,Die Seiten,Die,Seite,seite,1,Meine Seite,Moja stranica
Captain,Der Kapitän,Die Kapitäne,Der,Kapitän,kapitän,0,Mein Kapitän,Moj kapetan
Aunt,Die Tante,Die Tanten,Die,Tante,tante,1,Meine Tante,Moja teta
Darkness,Die Dunkelheit,-,Die,Dunkelheit,dunkelheit,1,Meine Dunkelheit,Moja tama
Control,Die Kontrolle,Die Kontrollen,Die,Kontrolle,kontrolle,1,Meine Kontrolle,Moja kontrola
Drink,Das Getränk,Die Getränke,Das,Getränk,getränk,2,Mein Getränk,Moje piće
Hotel,Das Hotel,Die Hotels,Das,Hotel,hotel,2,Mein Hotel,Moj hotel
Coat,Der Mantel,Die Mäntel,Der,Mantel,mantel,0,Mein Mantel,Moj kaput
Stair,Die Treppe,Die Treppen,Die,Treppe,treppe,1,Meine Treppe,Moje stepenice
Order,Die Bestellung,Die Bestellungen,Die,Bestellung,bestellung,1,Meine Bestellung,Moja narudžba
Rose,Die Rose,Die Rosen,Die,Rose,rose,1,Meine Rose,Moja ruža
Miss,Die Miss,-,Die,Miss,miss,1,Meine Miss,Moja gospođica
Hat,Der Hut,Die Hüte,Der,Hut,hut,0,Mein Hut,Moj šešir
Gold,Das Gold,-,Das,Gold,gold,2,Mein Gold,Moje zlato
Cigarette,Die Zigarette,Die Zigaretten,Die,Zigarette,zigarette,1,Meine Zigarette,Moja cigareta
Cloud,Die Wolke,Die Wolken,Die,Wolke,wolke,1,Meine Wolke,Moj oblak
View,Die Aussicht,Die Aussichten,Die,Aussicht,aussicht,1,Meine Aussicht,Moje mišljenje
Driver,Der Fahrer,Die Fahrer,Der,Fahrer,fahrer,0,Mein Fahrer,Moj vozač
Cup,Die Tasse,Die Tassen,Die,Tasse,tasse,1,Meine Tasse,Moja šalica
Figure,Die Figur,Die Figuren,Die,Figur,figur,1,Meine Figur,Moja figura
Expression,Der Ausdruck,Die Ausdrücke,Der,Ausdruck,ausdruck,0,Mein Ausdruck,Moj izraz lica
Path,Der Weg,Die Wege,Der,Weg,weg,0,Mein Weg,Moj put
Key,Der Schlüssel,Die Schlüssel,Der,Schlüssel,schlüssel,0,Mein Schlüssel,Moj ključ
Computer,Der Computer,Die Computer,Der,Computer,computer,0,Mein Computer,Moje računalo
Flower,Die Blume,Die Blumen,Die,Blume,blume,1,Meine Blume,Moj cvijet
Ring,Der Ring,Die Ringe,Der,Ring,ring,0,Mein Ring,Moj prsten
Bathroom,Das Badezimmer,Die Badezimmer,Das,Badezimmer,badezimmer,2,Mein Badezimmer,Moja kupaonica
Metal,Das Metall,Die Metalle,Das,Metall,metall,2,Mein Metall,Moj metal
Moon,Der Mond,Die Monde,Der,Mond,mond,0,Mein Mond,Moj mjesec
Song,Das Lied,Die Lieder,Das,Lied,lied,2,Mein Lied,Moja pjesma
Soldier,Der Soldat,Die Soldaten,Der,Soldat,soldat,0,Mein Soldat,Moj vojnik
Radio,Das Radio,Die Radios,Das,Radio,radio,2,Mein Radio,Moj radio
History,Die Geschichte,Die Geschichten,Die,Geschichte,geschichte,1,Meine Geschichte,Moja priča
Wave,Die Welle,Die Wellen,Die,Welle,welle,1,Meine Welle,Moj val
Plan,Der Plan,Die Pläne,Der,Plan,plan,0,Mein Plan,Moj plan
College,Das College,Die Colleges,Das,College,college,2,Mein College,Moj fakultet
Fish,Der Fisch,Die Fische,Der,Fisch,fisch,0,Mein Fisch,Moja riba
Garden,Der Garten,Die Gärten,Der,Garten,garten,0,Mein Garten,Moj vrt
Train,Der Zug,Die Züge,Der,Zug,zug,0,Mein Zug,Moj vlak
Shop,Das Geschäft,Die Geschäfte,Das,Geschäft,geschäft,2,Mein Geschäft,Moj posao
Cop,Der Polizist,Die Polizisten,Der,Polizist,polizist,0,Mein Polizist,Moj policajac
Art,Die Kunst,-,Die,Kunst,kunst,1,Meine Kunst,Moja umjetnost
Beer,Das Bier,Die Biere,Das,Bier,bier,2,Mein Bier,Moje pivo
North,Der Norden,-,Der,Norden,norden,0,Mein Norden,Moj sjever
Island,Die Insel,Die Inseln,Die,Insel,insel,1,Meine Insel,Moj otok
Bus,Der Bus,Die Busse,Der,Bus,bus,0,Mein Bus,Moj autobus
Smell,Der Geruch,Die Gerüche,Der,Geruch,geruch,0,Mein Geruch,Moj miris
