english,singular,plural,article,noun,x,y,sing+plural,catalan
Glass,Das Glas,Die Gläser,Das,Glas,glas,2,"Das Glas, Die Gläser","El vidre, les ulleres"
Tree,Der Baum,Die Bäume,Der,Baum,baum,0,"Der Baum, Die Bäume","L'arbre, els arbres"
Sound,Der Klang,Die Klänge,Der,Klang,klang,0,"Der Klang, Die Klänge","El so, els sons"
Line,Die Linie,Die Linien,Die,Linie,linie,1,"Die Linie, Die Linien","La línia, les línies"
Wife,Die Ehefrau,Die Ehefrauen,Die,Ehefrau,ehefrau,1,"Die Ehefrau, Die Ehefrauen","La dona, les esposes"
Heart,Das Herz,Die Herzen,Das,Herz,herz,2,"Das Herz, Die Herzen","El cor, els cors"
Money,Das Geld,-,Das,Geld,geld,2,"Das Geld, -","el diner, Els diners-"
Phone,Das Telefon,Die Telefone,Das,Telefon,telefon,2,"Das Telefon, Die Telefone","El telèfon, els telèfons"
Look,Der Blick,Die Blicke,Der,Blick,blick,0,"Der Blick, Die Blicke","La mirada, la mirada"
Leg,Das Bein,Die Beine,Das,Bein,bein,2,"Das Bein, Die Beine","La cama, les cames"
Chair,Der Stuhl,Die Stühle,Der,Stuhl,stuhl,0,"Der Stuhl, Die Stühle","La cadira, les cadires"
Office,Das Büro,Die Büros,Das,Büro,büro,2,"Das Büro, Die Büros","L'oficina, les oficines"
Brother,Der Bruder,Die Brüder,Der,Bruder,bruder,0,"Der Bruder, Die Brüder","El germà, els germans"
Question,Die Frage,Die Fragen,Die,Frage,frage,1,"Die Frage, Die Fragen","La pregunta, les preguntes"
City,Die Stadt,Die Städte,Die,Stadt,stadt,1,"Die Stadt, Die Städte","La ciutat, les ciutats"
Month,Der Monat,Die Monate,Der,Monat,monat,0,"Der Monat, Die Monate","El mes, els mesos"
Baby,Das Baby,Die Babys,Das,Baby,baby,2,"Das Baby, Die Babys","El nadó, els nadons"
Home,Das Zuhause,Die Zuhause,Das,Zuhause,zuhause,2,"Das Zuhause, Die Zuhause","La llar, la llar"
Dog,Der Hund,Die Hunde,Der,Hund,hund,0,"Der Hund, Die Hunde","El gos, els gossos"
Road,Die Straße,Die Straßen,Die,Straße,straße,1,"Die Straße, Die Straßen","El carrer, els carrers"
Idea,Die Idee,Die Ideen,Die,Idee,idee,1,"Die Idee, Die Ideen","La idea, les idees"
Kitchen,Die Küche,Die Küchen,Die,Küche,küche,1,"Die Küche, Die Küchen","La cuina, les cuines"
Lot,Das Grundstück,Die Grundstücke,Das,Grundstück,grundstück,2,"Das Grundstück, Die Grundstücke","La terra, les parcel·les"
Son,Der Sohn,Die Söhne,Der,Sohn,sohn,0,"Der Sohn, Die Söhne","El fill, els fills"
Job,Der Job,Die Jobs,Der,Job,job,0,"Der Job, Die Jobs","La feina, els llocs de treball"
Paper,Das Papier,Die Papiere,Das,Papier,papier,2,"Das Papier, Die Papiere","El paper, els papers"
Sister,Die Schwester,Die Schwestern,Die,Schwester,schwester,1,"Die Schwester, Die Schwestern","La germana, les germanes"
Smile,Das Lächeln,Die Lächeln,Das,Lächeln,lächeln,2,"Das Lächeln, Die Lächeln","El somriure, el somriure"
Point,Der Punkt,Die Punkte,Der,Punkt,punkt,0,"Der Punkt, Die Punkte","El punt, els punts"
Thought,Der Gedanke,Die Gedanken,Der,Gedanke,gedanke,0,"Der Gedanke, Die Gedanken","El pensament, els pensaments"
Love,Die Liebe,-,Die,Liebe,liebe,1,"Die Liebe, -","l'amor, els amors"
Town,Die Stadt,Die Städte,Die,Stadt,stadt,1,"Die Stadt, Die Städte","La ciutat, les ciutats"
Death,Der Tod,Die Tode,Der,Tod,tod,0,"Der Tod, Die Tode","la Mort, les morts"
Ground,Der Boden,Die Böden,Der,Boden,boden,0,"Der Boden, Die Böden","El sòl, els sòls"
Others,Die Anderen,-,Die,Anderen,anderen,1,"Die Anderen, -","l'altre, Els altres"
Fire,Das Feuer,Die Feuer,Das,Feuer,feuer,2,"Das Feuer, Die Feuer","El foc, els focs"
Step,Der Schritt,Die Schritte,Der,Schritt,schritt,0,"Der Schritt, Die Schritte","El pas, els passos"
Blood,Das Blut,-,Das,Blut,blut,2,"Das Blut, -","La sang, -"
Fact,Die Tatsache,Die Tatsachen,Die,Tatsache,tatsache,1,"Die Tatsache, Die Tatsachen","El fet, els fets"
Breath,Der Atem,Die Atemzüge,Der,Atem,atem,0,"Der Atem, Die Atemzüge","La respiració, la respiració"
Lip,Die Lippe,Die Lippen,Die,Lippe,lippe,1,"Die Lippe, Die Lippen","El llavi, els llavis"
Sun,Die Sonne,Die Sonnen,Die,Sonne,sonne,1,"Die Sonne, Die Sonnen","El sol, els sols"
Building,Das Gebäude,Die Gebäude,Das,Gebäude,gebäude,2,"Das Gebäude, Die Gebäude","L'edifici, els edificis"
Number,Die Nummer,Die Nummern,Die,Nummer,nummer,1,"Die Nummer, Die Nummern","El número, els números"
Husband,Der Ehemann,Die Ehemänner,Der,Ehemann,ehemann,0,"Der Ehemann, Die Ehemänner","El marit, els marits"
Parent,Der Elternteil,Die Elternteile,Der,Elternteil,elternteil,0,"Der Elternteil, Die Elternteile","Els pares, els pares"
Corner,Die Ecke,Die Ecken,Die,Ecke,ecke,1,"Die Ecke, Die Ecken","La cantonada, les cantonades"
Problem,Das Problem,Die Probleme,Das,Problem,problem,2,"Das Problem, Die Probleme","El problema, els problemes"
Couple,Das Paar,Die Paare,Das,Paar,paar,2,"Das Paar, Die Paare","La parella, les parelles"
Daughter,Die Tochter,Die Töchter,Die,Tochter,tochter,1,"Die Tochter, Die Töchter","La filla, les filles"
Bag,Die Tasche,Die Taschen,Die,Tasche,tasche,1,"Die Tasche, Die Taschen","La bossa, les bosses"
Hell,Die Hölle,-,Die,Hölle,hölle,1,"Die Hölle, -","l'infern, els inferns"
Rest,Die Ruhe,-,Die,Ruhe,ruhe,1,"Die Ruhe, -","La tranquil·litat, -"
Business,Das Geschäft,Die Geschäfte,Das,Geschäft,geschäft,2,"Das Geschäft, Die Geschäfte","El negoci, les botigues"
Sky,Der Himmel,Die Himmel,Der,Himmel,himmel,0,"Der Himmel, Die Himmel","El cel, el cel"
Box,Die Schachtel,Die Schachteln,Die,Schachtel,schachtel,1,"Die Schachtel, Die Schachteln","La caixa, les caixes"
Person,Die Person,Die Personen,Die,Person,person,1,"Die Person, Die Personen","La persona, el poble"
Reason,Der Grund,Die Gründe,Der,Grund,grund,0,"Der Grund, Die Gründe","La raó, les raons"
Right,Das Recht,-,Das,Recht,recht,2,"Das Recht, -",La dreta -
Skin,Die Haut,Die Häute,Die,Haut,haut,1,"Die Haut, Die Häute","La pell, les pells"
Dad,Der Vater,Die Väter,Der,Vater,vater,0,"Der Vater, Die Väter","El pare, els pares"
Case,Der Fall,Die Fälle,Der,Fall,fall,0,"Der Fall, Die Fälle","El cas, els casos"
Piece,Das Stück,Die Stücke,Das,Stück,stück,2,"Das Stück, Die Stücke","El joc, les peces"
Doctor,Der Arzt,Die Ärzte,Der,Arzt,arzt,0,"Der Arzt, Die Ärzte","El metge, els metges"
Edge,Der Rand,Die Ränder,Der,Rand,rand,0,"Der Rand, Die Ränder","La vora, les vores"
Mom,Die Mutter,Die Mütter,Die,Mutter,mutter,1,"Die Mutter, Die Mütter","La mare, les mares"
Picture,Das Bild,Die Bilder,Das,Bild,bild,2,"Das Bild, Die Bilder","La imatge, les imatges"
Sense,Der Sinn,Die Sinne,Der,Sinn,sinn,0,"Der Sinn, Die Sinne","Els sentits, els sentits"
Ear,Das Ohr,Die Ohren,Das,Ohr,ohr,2,"Das Ohr, Die Ohren","L'orella, les orelles"
Second,Die Sekunde,Die Sekunden,Die,Sekunde,sekunde,1,"Die Sekunde, Die Sekunden","El segon, els segons"
Lady,Die Dame,Die Damen,Die,Dame,dame,1,"Die Dame, Die Damen","La dama, les dames"
Neck,Der Hals,Die Hälse,Der,Hals,hals,0,"Der Hals, Die Hälse","El coll, els colls"
Wind,Der Wind,Die Winde,Der,Wind,wind,0,"Der Wind, Die Winde","El vent, els vents"
Desk,Der Schreibtisch,Die Schreibtische,Der,Schreibtisch,schreibtisch,0,"Der Schreibtisch, Die Schreibtische","L'escriptori, els escriptoris"
Gun,Die Waffe,Die Waffen,Die,Waffe,waffe,1,"Die Waffe, Die Waffen","L'arma, les armes"
Stone,Der Stein,Die Steine,Der,Stein,stein,0,"Der Stein, Die Steine","La pedra, les pedres"
Coffee,Der Kaffee,Die Kaffees,Der,Kaffee,kaffee,0,"Der Kaffee, Die Kaffees","El cafè, els cafès"
Ship,Das Schiff,Die Schiffe,Das,Schiff,schiff,2,"Das Schiff, Die Schiffe","El vaixell, els vaixells"
Earth,Die Erde,-,Die,Erde,erde,1,"Die Erde, -","La Terra, -"
Food,Das Essen,-,Das,Essen,essen,2,"Das Essen, -","El menjar, -"
Horse,Das Pferd,Die Pferde,Das,Pferd,pferd,2,"Das Pferd, Die Pferde","El cavall, els cavalls"
Field,Das Feld,Die Felder,Das,Feld,feld,2,"Das Feld, Die Felder","El camp, els camps"
War,Der Krieg,Die Kriege,Der,Krieg,krieg,0,"Der Krieg, Die Kriege","La guerra, les guerres"
Afternoon,Der Nachmittag,Die Nachmittage,Der,Nachmittag,nachmittag,0,"Der Nachmittag, Die Nachmittage","La tarda, les tardes"
Sir,Der Herr,Die Herren,Der,Herr,herr,0,"Der Herr, Die Herren","El Senyor, els senyors"
Space,Der Raum,Die Räume,Der,Raum,raum,0,"Der Raum, Die Räume","L'espai, les habitacions"
Evening,Der Abend,Die Abende,Der,Abend,abend,0,"Der Abend, Die Abende","La nit, les nits"
Letter,Der Brief,Die Briefe,Der,Brief,brief,0,"Der Brief, Die Briefe","La carta, les lletres"
Bar,Die Bar,Die Bars,Die,Bar,bar,1,"Die Bar, Die Bars","El bar, els bars"
Dream,Der Traum,Die Träume,Der,Traum,traum,0,"Der Traum, Die Träume","El somni, els somnis"
Apartment,Die Wohnung,Die Wohnungen,Die,Wohnung,wohnung,1,"Die Wohnung, Die Wohnungen","L'apartament, els apartaments"
Chest,Die Brust,Die Brüste,Die,Brust,brust,1,"Die Brust, Die Brüste","El pit, els pits"
Game,Das Spiel,Die Spiele,Das,Spiel,spiel,2,"Das Spiel, Die Spiele","El joc, els jocs"
Summer,Der Sommer,Die Sommer,Der,Sommer,sommer,0,"Der Sommer, Die Sommer","L'estiu, els estius"
Matter,Die Angelegenheit,Die Angelegenheiten,Die,Angelegenheit,angelegenheit,1,"Die Angelegenheit, Die Angelegenheiten","L'assumpte, els assumptes"
Silence,Die Stille,-,Die,Stille,stille,1,"Die Stille, -","El silenci, -"
Top,Die Spitze,Die Spitzen,Die,Spitze,spitze,1,"Die Spitze, Die Spitzen","La part superior, els consells"
Rock,Der Felsen,Die Felsen,Der,Felsen,felsen,0,"Der Felsen, Die Felsen","La roca, les roques"
Power,Die Macht,-,Die,Macht,macht,1,"Die Macht, -","El poder, -"
Clothes,Die Kleidung,-,Die,Kleidung,kleidung,1,"Die Kleidung, -","La roba, -"
Sign,Das Schild,Die Schilder,Das,Schild,schild,2,"Das Schild, Die Schilder","El signe, els signes"
Attention,Die Aufmerksamkeit,-,Die,Aufmerksamkeit,aufmerksamkeit,1,"Die Aufmerksamkeit, -","L'atenció, les atencions"
Music,Die Musik,-,Die,Musik,musik,1,"Die Musik, -","La música, -"
State,Der Zustand,Die Zustände,Der,Zustand,zustand,0,"Der Zustand, Die Zustände","L'estat, les condicions"
Pocket,Die Tasche,Die Taschen,Die,Tasche,tasche,1,"Die Tasche, Die Taschen","La bossa, les bosses"
Dinner,Das Abendessen,Die Abendessen,Das,Abendessen,abendessen,2,"Das Abendessen, Die Abendessen","El sopar, els sopars"
Hall,Der Saal,Die Säle,Der,Saal,saal,0,"Der Saal, Die Säle","El vestíbul, els salons"
Pain,Der Schmerz,Die Schmerzen,Der,Schmerz,schmerz,0,"Der Schmerz, Die Schmerzen","El dolor, el dolor"
Age,Das Alter,-,Das,Alter,alter,2,"Das Alter, -","l'edat, les edats"
River,Der Fluss,Die Flüsse,Der,Fluss,fluss,0,"Der Fluss, Die Flüsse","El riu, els rius"
Chance,Die Chance,Die Chancen,Die,Chance,chance,1,"Die Chance, Die Chancen","L'oportunitat, les oportunitats"
Nose,Die Nase,Die Nasen,Die,Nase,nase,1,"Die Nase, Die Nasen","El nas, els nassos"
Shadow,Der Schatten,Die Schatten,Der,Schatten,schatten,0,"Der Schatten, Die Schatten","L'ombra, les ombres"
Police,Die Polizei,-,Die,Polizei,polizei,1,"Die Polizei, -",La policia-
Memory,Die Erinnerung,Die Erinnerungen,Die,Erinnerung,erinnerung,1,"Die Erinnerung, Die Erinnerungen","La memòria, els records"
Color,Die Farbe,Die Farben,Die,Farbe,farbe,1,"Die Farbe, Die Farben","El color, els colors"
Knee,Das Knie,Die Knie,Das,Knie,knie,2,"Das Knie, Die Knie","El genoll, els genolls"
Wood,Das Holz,-,Das,Holz,holz,2,"Das Holz, -",La fusta-
Shirt,Das Hemd,Die Hemden,Das,Hemd,hemd,2,"Das Hemd, Die Hemden","La camisa, les samarretes"
Party,Die Party,Die Partys,Die,Party,party,1,"Die Party, Die Partys","La festa, les festes"
Country,Das Land,Die Länder,Das,Land,land,2,"Das Land, Die Länder","El país, els països"
Truck,Der Lastwagen,Die Lastwagen,Der,Lastwagen,lastwagen,0,"Der Lastwagen, Die Lastwagen","Els camions, els camions"
Tooth,Der Zahn,Die Zähne,Der,Zahn,zahn,0,"Der Zahn, Die Zähne","La dent, les dents"
Bill,Die Rechnung,Die Rechnungen,Die,Rechnung,rechnung,1,"Die Rechnung, Die Rechnungen","El projecte de llei, els projectes de llei"
Scene,Die Szene,Die Szenen,Die,Szene,szene,1,"Die Szene, Die Szenen","L'escena, les escenes"
Land,Das Land,Die Länder,Das,Land,land,2,"Das Land, Die Länder","El país, els països"
Star,Der Stern,Die Sterne,Der,Stern,stern,0,"Der Stern, Die Sterne","L'estrella, les estrelles"
Bird,Der Vogel,Die Vögel,Der,Vogel,vogel,0,"Der Vogel, Die Vögel","L'ocell, els ocells"
Bedroom,Das Schlafzimmer,Die Schlafzimmer,Das,Schlafzimmer,schlafzimmer,2,"Das Schlafzimmer, Die Schlafzimmer","El dormitori, els dormitoris"
Uncle,Der Onkel,Die Onkel,Der,Onkel,onkel,0,"Der Onkel, Die Onkel","L'oncle, els oncles"
Sort,Die Art,-,Die,Art,art,1,"Die Art, -",El camí -
Group,Die Gruppe,Die Gruppen,Die,Gruppe,gruppe,1,"Die Gruppe, Die Gruppen","El grup, els grups"
Truth,Die Wahrheit,Die Wahrheiten,Die,Wahrheit,wahrheit,1,"Die Wahrheit, Die Wahrheiten","La veritat, les veritats"
Trouble,Die Schwierigkeit,-,Die,Schwierigkeit,schwierigkeit,1,"Die Schwierigkeit, -","La dificultat, -"
Crowd,Die Menschenmenge,Die Menschenmengen,Die,Menschenmenge,menschenmenge,1,"Die Menschenmenge, Die Menschenmengen","La multitud, la multitud"
Station,Der Bahnhof,Die Bahnhöfe,Der,Bahnhof,bahnhof,0,"Der Bahnhof, Die Bahnhöfe","L'estació de tren, les estacions"
Tear,Die Träne,Die Tränen,Die,Träne,träne,1,"Die Träne, Die Tränen","La llàgrima, les llàgrimes"
Class,Die Klasse,Die Klassen,Die,Klasse,klasse,1,"Die Klasse, Die Klassen","La classe, les classes"
Sea,Das Meer,Die Meere,Das,Meer,meer,2,"Das Meer, Die Meere","El mar, els mars"
Animal,Das Tier,Die Tiere,Das,Tier,tier,2,"Das Tier, Die Tiere","L'animal, els animals"
Center,Das Zentrum,Die Zentren,Das,Zentrum,zentrum,2,"Das Zentrum, Die Zentren","El Centre, els Centres"
Feeling,Das Gefühl,Die Gefühle,Das,Gefühl,gefühl,2,"Das Gefühl, Die Gefühle","El sentiment, els sentiments"
Store,Das Geschäft,Die Geschäfte,Das,Geschäft,geschäft,2,"Das Geschäft, Die Geschäfte","El negoci, les botigues"
Mountain,Der Berg,Die Berge,Der,Berg,berg,0,"Der Berg, Die Berge","La muntanya, les muntanyes"
Shoe,Der Schuh,Die Schuhe,Der,Schuh,schuh,0,"Der Schuh, Die Schuhe","La sabata, les sabates"
Cat,Die Katze,Die Katzen,Die,Katze,katze,1,"Die Katze, Die Katzen","El gat, els gats"
Screen,Der Bildschirm,Die Bildschirme,Der,Bildschirm,bildschirm,0,"Der Bildschirm, Die Bildschirme","La pantalla, les pantalles"
Bottle,Die Flasche,Die Flaschen,Die,Flasche,flasche,1,"Die Flasche, Die Flaschen","L'ampolla, les ampolles"
Call,Der Anruf,Die Anrufe,Der,Anruf,anruf,0,"Der Anruf, Die Anrufe","La trucada, les trucades"
Living,Das Wohnzimmer,Die Wohnzimmer,Das,Wohnzimmer,wohnzimmer,2,"Das Wohnzimmer, Die Wohnzimmer","La sala d'estar, Les sales d'estar"
Cheek,Die Wange,Die Wangen,Die,Wange,wange,1,"Die Wange, Die Wangen","La galta, les galtes"
Student,Der Student,Die Studenten,Der,Student,student,0,"Der Student, Die Studenten","L'alumne, els alumnes"
Ball,Der Ball,Die Bälle,Der,Ball,ball,0,"Der Ball, Die Bälle","La pilota, les pilotes"
Sight,Der Anblick,Die Anblicke,Der,Anblick,anblick,0,"Der Anblick, Die Anblicke","La vista, les vistes"
Hill,Der Hügel,Die Hügel,Der,Hügel,hügel,0,"Der Hügel, Die Hügel","El turó, els turons"
Company,Das Unternehmen,Die Unternehmen,Das,Unternehmen,unternehmen,2,"Das Unternehmen, Die Unternehmen","L'empresa, les empreses"
Church,Die Kirche,Die Kirchen,Die,Kirche,kirche,1,"Die Kirche, Die Kirchen","L'Església, Les Esglésies"
Rain,Der Regen,Die Regen,Der,Regen,regen,0,"Der Regen, Die Regen","La pluja, la pluja"
Suit,Der Anzug,Die Anzüge,Der,Anzug,anzug,0,"Der Anzug, Die Anzüge","El vestit, els vestits"
One,Die Eins,-,Die,Eins,eins,1,"Die Eins, -","L'únic, els únics"
Direction,Die Richtung,Die Richtungen,Die,Richtung,richtung,1,"Die Richtung, Die Richtungen","La direcció, les indicacions"
Will,Der Wille,-,Der,Wille,wille,0,"Der Wille, -","La voluntat, -"
Throat,Der Hals,Die Hälse,Der,Hals,hals,0,"Der Hals, Die Hälse","El coll, els colls"
Middle,Die Mitte,-,Die,Mitte,mitte,1,"Die Mitte, -","El mig, -"
Answer,Die Antwort,Die Antworten,Die,Antwort,antwort,1,"Die Antwort, Die Antworten","La resposta, les respostes"
Stuff,Das Zeug,-,Das,Zeug,zeug,2,"Das Zeug, -","l'eina, les eines"
Hospital,Das Krankenhaus,Die Krankenhäuser,Das,Krankenhaus,krankenhaus,2,"Das Krankenhaus, Die Krankenhäuser","L'hospital, els hospitals"
Camera,Die Kamera,Die Kameras,Die,Kamera,kamera,1,"Die Kamera, Die Kameras","La càmera, les càmeres"
Dress,Das Kleid,Die Kleider,Das,Kleid,kleid,2,"Das Kleid, Die Kleider","El vestit, els vestits"
Card,Die Karte,Die Karten,Die,Karte,karte,1,"Die Karte, Die Karten","El mapa, les cartes"
Yard,Der Hof,Die Höfe,Der,Hof,hof,0,"Der Hof, Die Höfe","La granja, les granges"
Dark,Die Dunkelheit,-,Die,Dunkelheit,dunkelheit,1,"Die Dunkelheit, -","La foscor, -"
Shit,Die Scheiße,-,Die,Scheiße,scheiße,1,"Die Scheiße, -","La merda, -"
Image,Das Bild,Die Bilder,Das,Bild,bild,2,"Das Bild, Die Bilder","La imatge, les imatges"
Machine,Die Maschine,Die Maschinen,Die,Maschine,maschine,1,"Die Maschine, Die Maschinen","La màquina, les màquines"
Distance,Die Entfernung,Die Entfernungen,Die,Entfernung,entfernung,1,"Die Entfernung, Die Entfernungen","La distància, les distàncies"
Area,Das Gebiet,Die Gebiete,Das,Gebiet,gebiet,2,"Das Gebiet, Die Gebiete","La zona, els territoris"
Narrator,Der Erzähler,Die Erzähler,Der,Erzähler,erzähler,0,"Der Erzähler, Die Erzähler","El narrador, els narradors"
Ice,Das Eis,Die Eis,Das,Eis,eis,2,"Das Eis, Die Eis","El gel, el gel"
Snow,Der Schnee,-,Der,Schnee,schnee,0,"Der Schnee, -","La neu, -"
Note,Die Notiz,Die Notizen,Die,Notiz,notiz,1,"Die Notiz, Die Notizen","La nota, les notes"
Mirror,Der Spiegel,Die Spiegel,Der,Spiegel,spiegel,0,"Der Spiegel, Die Spiegel","El mirall, els miralls"
King,Der König,Die Könige,Der,König,könig,0,"Der König, Die Könige","El rei, els reis"
Fear,Die Angst,-,Die,Angst,angst,1,"Die Angst, -","La por, -"
Officer,Der Beamte,Die Beamten,Der,Beamte,beamte,0,"Der Beamte, Die Beamten","El funcionari, els funcionaris"
Hole,Das Loch,Die Löcher,Das,Loch,loch,2,"Das Loch, Die Löcher","El forat, els forats"
Shot,Der Schuss,Die Schüsse,Der,Schuss,schuss,0,"Der Schuss, Die Schüsse","El tret, els trets"
Guard,Der Wächter,Die Wächter,Der,Wächter,wächter,0,"Der Wächter, Die Wächter","El Guardià, Els Guardians"
Conversation,Das Gespräch,Die Gespräche,Das,Gespräch,gespräch,2,"Das Gespräch, Die Gespräche","La conversa, les converses"
