x,y
guverner,0
ostatak,0
jeep,0
zgrada,1
najam,0
kanu,0
sloboda,1
nadimak,0
božica,1
slijepa,1
seminar,0
baka,1
umak,0
profil,0
loza,1
poker,0
češalj,0
ponuda,1
selo,2
argument,0
trgovanje,2
depresija,1
prag,0
blagovaonica,1
kuk,0
jaz,0
dickens,0
mason,0
kikiriki,0
brak,0
sudar,0
povjerenje,2
breskva,1
namjera,1
znatiželja,1
tajna,1
tipkovnica,1
pas,0
sidro,2
željeznica,1
kava,1
tkanina,1
pista,1
vrtoglavica,1
hak,0
ruža,1
dogovor,0
pepeo,0
djelo,2
poziv,0
mramor,0
uvjerenje,2
štand,0
rodbina,1
čovjek,0
taksi,0
rastezanje,2
vila,1
buljenje,2
daska,1
prezir,0
mjerač,0
slavina,1
pingvin,0
vatra,1
ugljen,0
odjeća,1
žurba,1
držač,0
izvješće,2
majka,1
područje,2
strah,0
raspoloženje,2
svijeća,1
stepenice,2
svrha,1
plaćanje,2
oltar,0
kukac,0
istina,1
niz,0
zona,1
knjiga,1
poruka,1
prijem,0
ja,2
šetnja,1
koljeno,2
biljka,1
kombinacija,1
poticaj,0
čaj,0
problem,0
stoka,1
orao,0
vojska,1
galaksija,1
spavaćica,1
pravo,2
strijelac,0
govor,0
održavanje,2
krevet,0
javor,0
travnjak,0
sjecište,2
odvod,0
leđa,1
budućnost,1
čudo,2
odabir,0
riječ,1
bilješka,1
natječaj,0
puretina,1
oklijevanje,2
uzde,2
pepeljara,1
sumnja,1
bach,0
ploča,1
imovina,1
prednosti,2
odvjetnik,0
kauč,0
otisak,0
jezik,0
raketa,1
mjesec,0
smrad,0
demon,0
polovica,1
tekućina,1
razlog,0
ekonomija,1
telefon,0
kućanstvo,2
vještina,1
tanjurić,0
gusar,0
hrast,0
okvir,0
magija,1
peciva,1
vrt,0
intervju,0
briga,1
dar,0
drhtanje,2
prijenos,0
izbor,0
štit,0
dolina,1
učenje,2
službeni,0
limun,0
bodež,0
cola,1
rob,0
poezija,1
način,0
naglasak,0
smrzavanje,2
groznica,1
jagoda,1
plan,0
zavjet,0
kontinent,0
dvorac,0
fantazija,1
mir,0
rame,2
hladnoća,1
dolje,0
anđeo,0
mama,1
pustinja,1
šačica,1
kiša,1
mandat,0
rudar,0
dvojnik,0
slava,1
pjena,1
kongres,0
liga,1
odlazak,0
domaćin,0
konobarica,1
dizajn,0
skuter,0
kamen,0
sprej,0
prst,0
instinkt,0
tisak,0
minuta,1
primjer,0
prijetnja,1
parkiralište,2
utrka,1
noga,1
prekidač,0
koliba,1
engleski,0
stvarnost,1
sudnica,1
pjesma,1
dragulj,0
kisik,0
starješina,0
aktovka,1
ocean,0
baterija,1
brada,1
poslijepodne,2
fokus,0
napetost,1
materijal,0
biser,0
alternativa,1
fizika,1
ured,0
lovor,0
vješanje,2
zajednica,1
dizalica,1
prijestolje,2
leš,0
tvrđava,1
vampir,0
epizoda,1
stack,0
ujak,0
zbunjenost,1
zakrpa,1
svijest,1
njemački,0
alarm,0
količina,1
misa,1
baršun,0
jedinica,1
opeklina,1
udovica,1
obuka,1
stisak,0
gospodar,0
prozor,0
pilot,0
objekt,0
škola,1
dalekozor,0
teleskop,0
igračke,2
ruta,1
jutro,2
skripta,1
činjenica,1
čitatelj,0
odraz,0
kapela,1
monitor,0
vrag,0
rješenje,2
fraza,1
borac,0
glasnoća,1
plava,1
učenjak,0
spomenik,0
stomatolog,0
trgovac,0
rezultat,0
razarač,0
publika,1
orgulje,2
tijesto,2
teorija,1
pupoljak,0
naranča,1
navika,1
crna,1
prsluk,0
par,0
pretinac,0
bolest,1
račun,0
pjevač,0
kiselost,1
pojedinac,0
kredit,0
toranj,0
blagoslov,0
opseg,0
konj,0
zabava,1
snaga,1
glasnik,0
dnk,0
fragment,0
vrabac,0
dionice,2
salon,0
vlasište,2
pogodak,0
talijanski,0
sendvič,0
hotel,0
pokušaj,0
model,0
rekord,0
litica,1
balkon,0
suputnik,0
večera,1
produkcija,1
kovrča,1
frizura,1
kip,0
raj,0
aroma,1
squirting,2
formacija,1
hodočasnik,0
ulje,2
zločinac,0
mjesečina,1
tehničar,0
avenija,1
presuda,1
palica,1
asfalt,0
šapa,1
šerif,0
div,0
slijed,0
nakaza,1
korijen,0
dužnost,1
brojač,0
kut,0
dvorište,2
princ,0
smeđa,1
spremnik,0
učionica,1
šljunak,0
kabel,0
radar,0
bljesak,0
bar,0
aluminij,0
rublje,2
koktel,0
stil,0
čili,0
tele,2
mlijeko,2
objava,1
vanzemaljac,0
jebanje,0
tenisice,2
traktor,0
podrijetlo,2
razmjena,1
igralište,2
operater,0
skrbnik,0
mlin,0
percepcija,1
uragan,0
oproštaj,0
okruglica,1
predsjednik,0
krpe,2
žalba,1
vještica,1
kosa,1
softver,0
rabin,0
čarapa,1
lopov,0
skulptura,1
sedlo,2
naknada,1
grof,0
opera,1
nutrina,1
utočište,2
krater,0
proces,0
izvor,0
odgovornost,1
ovratnik,0
bože,0
vrata,1
ram,0
močvara,1
plaža,1
ulov,0
soba,1
list,0
uzorak,0
kandidat,0
lokva,1
buket,0
prolazak,0
studio,0
glasina,1
osveta,1
očekivanja,1
priprema,1
linija,1
proizvod,0
omotnica,1
košarica,1
ambicija,1
porez,0
gubitak,0
strehe,2
čelik,0
vena,1
osoba,1
poštovanje,2
paket,0
kriza,1
projekt,0
tragedija,1
drake,0
božikovina,1
ljubičica,1
deka,1
stubište,2
patuljak,0
rodni,0
obala,1
gumb,0
poriv,0
ljestvica,1
emisija,1
osiguranje,2
žarulja,1
prljavština,1
upaljač,0
savršenstvo,2
japanski,0
piramida,1
gležanj,0
glava,1
siromaštvo,2
krilo,2
jasnoća,1
slon,0
žena,1
jama,1
kontekst,0
vitez,0
peć,1
incident,0
rizik,0
raznolikost,1
asteroid,0
tapkanje,2
ptica,1
rječnik,0
stroj,0
vozač,0
zraka,1
luk,0
as,0
hrpa,1
začin,0
priroda,1
parada,1
autobus,0
razvod,0
perspektiva,1
nesreća,1
suza,1
jetra,1
iščekivanje,2
energija,1
vreća,1
medalja,1
scenarij,0
industrija,1
čekanje,2
spominjanje,2
rendžer,0
drama,1
koncept,0
šuma,1
cigareta,1
akcija,1
grad,0
cigara,1
rak,0
ogrlica,1
kod,0
šištanje,2
završetak,0
pšenica,1
put,0
generacija,1
detektiv,0
kljun,0
sluga,0
batler,0
golf,0
igra,1
cilj,0
nada,1
igrač,0
jesen,1
susret,0
konkurencija,1
nećakinja,1
hladnjak,0
deva,1
slavlje,2
djetinjstvo,2
oluja,1
oštrica,1
pastrva,1
dobrota,1
podlaktica,1
nositelj,0
kampus,0
zvonjenje,2
pobjednik,0
udica,1
sjaj,0
visina,1
jastreb,0
ton,0
poni,0
imitacija,1
provizija,1
suknja,1
rampa,1
dupin,0
boca,1
kartica,1
kat,0
serija,1
čišćenje,2
čuđenje,2
romansa,1
iznenađenje,2
glas,0
prijateljstvo,2
pokrivenost,1
lekcija,1
ulica,1
regija,1
upravljanje,2
rođenje,2
struktura,1
revolucija,1
udaljenost,1
vježba,1
program,0
ispis,0
vršnjak,0
ožiljak,0
leglo,2
duljina,1
slijetanje,2
karta,1
rog,0
pakao,0
filozofija,1
farma,1
set,0
crtić,0
orbita,1
bomba,1
zagonetka,1
kašalj,0
trudnoća,1
otkriće,2
ulog,0
steam,0
tajming,0
shema,1
kupaonica,1
ljestve,2
sačmarica,1
restoran,0
trud,0
lažljivac,0
pobjeda,1
kojot,0
veza,1
šav,0
razglednica,1
privatnost,1
odbacivanje,2
element,0
fotoaparat,0
kriket,0
vranac,0
čistač,0
povlačenje,2
obožavatelj,0
ocjena,1
lijes,0
pljuvačka,1
voćnjak,0
brend,0
horizont,0
labud,0
šutnja,1
žetva,1
ožujak,0
udobnost,1
helikopter,0
zvuk,0
gesta,1
sok,0
grupa,1
papirologija,1
rover,0
oklada,1
brana,1
najdraža,1
disanje,2
susjed,0
streif,0
iskra,1
uloga,1
pećnica,1
terapija,1
milosti,1
korpus,0
stup,0
znak,0
gavran,0
zaposlenik,0
istražitelj,0
limenka,1
veličanstvo,2
primjerak,0
mlinar,0
korak,0
glumac,0
trg,0
kuhar,0
silueta,1
dijete,2
gorivo,2
tretman,0
rezerva,1
krema,1
događaj,0
odjek,0
uho,2
divljina,1
metak,0
ručak,0
šetač,0
piće,2
usisavač,0
aktivnost,1
poruke,2
pozicija,1
značka,1
stanica,1
banka,1
reputacija,1
manžetna,1
zub,0
miks,0
maska,1
tenk,0
festival,0
klanac,0
kći,1
šminka,1
tetovaža,1
vozilo,2
čajnik,0
modrica,1
torta,1
rođak,0
grmljavina,1
pijesak,0
medvjed,0
runda,1
motiv,0
brdo,2
matematika,1
turist,0
gaćice,2
sastanak,0
veličina,1
smijeh,0
menstruacija,1
galerija,1
bend,0
vrijeme,2
kamin,0
skok,0
duša,1
samoća,1
pumpa,1
udarac,0
poanta,1
idiot,0
sranje,2
gulaš,0
signal,0
majica,1
neon,0
smaragd,0
plemstvo,2
pripadnost,1
vulkan,0
roštilj,0
nogomet,0
flanel,0
akademija,1
naslov,0
vrisak,0
čeljust,1
mačić,0
klik,0
vilica,1
držanje,2
učenik,0
naušnica,1
jazbina,1
boja,1
kandža,1
krivulja,1
val,0
krhotine,2
kocka,1
letenje,2
bušilica,1
traka,1
sunce,2
tim,0
čipka,1
tijek,0
ruševine,2
nebo,2
siva,1
kralježnica,1
uništenje,2
ponašanje,2
ispit,0
govedina,1
tvrtka,1
uličica,1
tjelohranitelj,0
interes,0
spoj,0
uhićenje,2
podrum,0
olupina,1
znanstvenik,0
homer,0
zbor,0
poljubac,0
marker,0
kvržica,1
preživjeli,0
pjevanje,2
zvono,2
pogodnost,1
institut,0
dolazak,0
funkcija,1
motocikl,0
krov,0
mesar,0
mehaničar,0
bicikl,0
novine,2
leptir,0
logika,1
ratnik,0
prostirka,1
pukotina,1
trol,0
shake,0
biskup,0
izdanje,2
popis,0
sirena,1
sin,0
magla,1
stanje,2
sučelje,2
eksplozija,1
zakon,0
grijeh,0
kirurg,0
kapetan,0
apartman,0
granit,0
struja,1
skrovište,2
trik,0
ubojica,0
operacija,1
fotografija,1
savjest,1
snijeg,0
ranč,0
temelj,0
avantura,1
mapa,1
plač,0
distrakcija,1
prodavač,0
recepcionarka,1
vjetar,0
taština,1
tijelo,2
jakna,1
uzdah,0
sluškinje,2
prebivalište,2
turneja,1
mit,0
vrlina,1
svetac,0
zavjesa,1
producent,0
trokut,0
seljanin,0
tepih,0
stražnjica,1
kobila,1
susjedstvo,2
đumbir,0
fotograf,0
kopanje,2
voće,2
nećak,0
gin,0
pomoćnik,0
trener,0
trezor,0
sestra,1
cura,1
utjecaj,0
lov,0
most,0
odmaralište,2
isporuka,1
stolica,1
obrazac,0
bogatstvo,2
kočija,1
guska,1
grašak,0
olakšanje,2
crnina,1
lutka,1
gađenje,2
afera,1
lice,2
nered,0
intimnost,1
divljenje,2
pohvala,1
zima,1
miš,0
broj,0
loža,1
tunel,0
skladište,2
trkač,0
osobnost,1
torba,1
otok,0
naselje,2
komarac,0
predvorje,2
ljeto,2
trava,1
slamka,1
poplava,1
stav,0
limunada,1
knjižara,1
džemper,0
zagrljaj,0
zec,0
zlato,2
autocesta,1
nedostatak,0
lupfer,0
novac,0
e-pošta,1
traperice,2
plus,0
premlaćivanje,2
rezač,0
dopuštenje,2
značajka,1
teretana,1
rupa,1
kauboj,0
načelo,2
komunikacija,1
vino,2
talac,0
album,0
ogrebotina,1
ford,0
bubanj,0
stvari,2
godišnjica,1
zaljev,0
glavobolja,1
panika,1
hrabrost,1
kuća,1
pokret,0
čežnja,1
mornar,0
gnijezdo,2
ovce,2
autor,0
pojas,0
panker,0
situacija,1
poklopac,0
lubanja,1
revolver,0
ključ,0
pletenica,1
ugriz,0
trajekt,0
palača,1
portafon,0
štruca,1
šarka,1
pub,0
labirint,0
zdravlje,2
natpis,0
gubitnik,0
tekst,0
smjer,0
glazba,1
zadovoljstvo,2
kombi,0
štakor,0
pečenje,2
životinja,1
vlak,0
bijes,0
opasnost,1
krevetić,0
mjesto,2
ogledalo,2
posteljina,1
propast,1
roman,0
atmosfera,1
mač,0
faktor,0
salata,1
lav,0
stabljika,1
neovisnost,1
unos,0
štap,0
pastir,0
pljesak,0
špilja,1
vrba,1
alkohol,0
diplomant,0
koplje,2
frizer,0
podrška,1
preokret,0
muž,0
izlaz,0
stipendija,1
uzašašće,2
zdjela,1
dokument,0
sijeno,2
dodir,0
procvat,0
tajnica,1
kukavica,1
zanat,0
inspektor,0
katedrala,1
šljiva,1
tjedan,0
čitanje,2
svećenik,0
nokat,0
zasljepljivanje,2
administracija,1
šunka,1
kolekcija,1
maslac,0
francuz,0
fotelja,1
logotip,0
papuča,1
menadžer,0
šupljina,1
godina,1
kamion,0
kada,1
crvendać,0
ljubimac,0
standard,0
terorist,0
bjelokost,1
ulaganje,2
rubnik,0
odjeljak,0
ribolov,0
doseg,0
garaža,1
mačka,1
opis,0
volja,1
pretraga,1
reakcija,1
konzola,1
suvozač,0
artefakt,0
mak,0
postojanje,2
puška,1
tutnjava,1
izvedba,1
namještaj,0
udio,0
satelit,0
kontrast,0
slikar,0
obrana,1
laboratorij,0
časopis,0
strast,1
stranica,1
prostranost,1
platforma,1
verzija,1
pčela,1
zapažanje,2
šteta,1
portret,0
smeće,2
stablo,2
kobasica,1
ludilo,2
tržnica,1
duh,0
patka,1
sukob,0
pastor,0
ispovijed,1
splet,0
zelena,1
jazz,0
kurva,1
zaliha,1
klinika,1
šanse,2
umjetnost,1
rogoz,0
tkivo,2
grb,0
kišobran,0
kontakt,0
amerikanac,0
komentar,0
miksanje,2
brat,0
sandala,1
kofer,0
religija,1
ušteđevina,1
posjet,0
prihod,0
bronca,1
sezona,1
pero,2
neugodnost,1
potres,0
puls,0
bit,1
tečaj,0
vrč,0
stručnjak,0
krv,1
predak,0
sjekira,1
kapsula,1
bunar,0
latica,1
