english,singular,plural,article,noun,x,y,possessive,croatian,n_words
Job,Der Job,Die Jobs,Der,Job,posao,0,moj,Moj posao,2
Sister,Die Schwester,Die Schwestern,Die,Schwester,sestra,1,moja,Moja sestra,2
Smile,Das Lächeln,Die Lächeln,Das,Lächeln,osmijeh,0,moj,Moj osmijeh,2
Point,Der Punkt,Die Punkte,Der,Punkt,poanta,1,moja,Moja poanta,2
Thought,Der Gedanke,Die Gedanken,Der,Gedanke,misao,1,moja,Moja misao,2
Death,Der Tod,Die Tode,Der,Tod,smrt,1,moja,Moja smrt,2
Fire,Das Feuer,Die Feuer,Das,Feuer,vatra,1,moja,Moja vatra,2
Step,Der Schritt,Die Schritte,Der,Schritt,korak,0,moj,Moj korak,2
Blood,Das Blut,-,Das,Blut,krv,1,moja,Moja krv,2
Fact,Die Tatsache,Die Tatsachen,Die,Tatsache,činjenica,1,moja,Moja činjenica,2
Breath,Der Atem,Die Atemzüge,Der,Atem,dah,0,moj,Moj dah,2
Lip,Die Lippe,Die Lippen,Die,Lippe,usna,1,moja,Moja usna,2
Sun,Die Sonne,Die Sonnen,Die,Sonne,sunce,2,moje,Moje sunce,2
Building,Das Gebäude,Die Gebäude,Das,Gebäude,zgrada,1,moja,Moja zgrada,2
Number,Die Nummer,Die Nummern,Die,Nummer,broj,0,moj,Moj broj,2
Parent,Der Elternteil,Die Elternteile,Der,Elternteil,roditelj,0,moj,Moj roditelj,2
Corner,Die Ecke,Die Ecken,Die,Ecke,kutak,0,moj,Moj kutak,2
Problem,Das Problem,Die Probleme,Das,Problem,problem,0,moj,Moj problem,2
Couple,Das Paar,Die Paare,Das,Paar,par,0,moj,Moj par,2
Daughter,Die Tochter,Die Töchter,Die,Tochter,kći,1,moja,Moja kći,2
Bag,Die Tasche,Die Taschen,Die,Tasche,torba,1,moja,Moja torba,2
Hell,Die Hölle,-,Die,Hölle,pakao,0,moj,Moj pakao,2
Rest,Die Ruhe,-,Die,Ruhe,odmor,0,moj,Moj odmor,2
Sky,Der Himmel,Die Himmel,Der,Himmel,nebo,2,moje,Moje nebo,2
Box,Die Schachtel,Die Schachteln,Die,Schachtel,kutija,1,moja,Moja kutija,2
Person,Die Person,Die Personen,Die,Person,osoba,1,moja,Moja osoba,2
Reason,Der Grund,Die Gründe,Der,Grund,razlog,0,moj,Moj razlog,2
Right,Das Recht,-,Das,Recht,pravo,2,moje,Moje pravo,2
Skin,Die Haut,Die Häute,Die,Haut,koža,1,moja,Moja koža,2
Case,Der Fall,Die Fälle,Der,Fall,slučaj,0,moj,Moj slučaj,2
Piece,Das Stück,Die Stücke,Das,Stück,članak,0,moj,Moj članak,2
Doctor,Der Arzt,Die Ärzte,Der,Arzt,liječnik,0,moj,Moj liječnik,2
Edge,Der Rand,Die Ränder,Der,Rand,rub,0,moj,Moj rub,2
Picture,Das Bild,Die Bilder,Das,Bild,slika,1,moja,Moja slika,2
Sense,Der Sinn,Die Sinne,Der,Sinn,svrha,1,moja,Moja svrha,2
Ear,Das Ohr,Die Ohren,Das,Ohr,uho,2,moje,Moje uho,2
Second,Die Sekunde,Die Sekunden,Die,Sekunde,drugi,0,moj,Moj drugi,2
Neck,Der Hals,Die Hälse,Der,Hals,vrat,0,moj,Moj vrat,2
Wind,Der Wind,Die Winde,Der,Wind,vjetar,0,moj,Moj vjetar,2
Gun,Die Waffe,Die Waffen,Die,Waffe,oružje,2,moje,Moje oružje,2
Stone,Der Stein,Die Steine,Der,Stein,kamen,0,moj,Moj kamen,2
Coffee,Der Kaffee,Die Kaffees,Der,Kaffee,kava,1,moja,Moja kava,2
Earth,Die Erde,-,Die,Erde,zemlja,1,moja,Moja Zemlja,2
Food,Das Essen,-,Das,Essen,hrana,1,moja,Moja hrana,2
Horse,Das Pferd,Die Pferde,Das,Pferd,konj,0,moj,Moj konj,2
Field,Das Feld,Die Felder,Das,Feld,područje,2,moje,Moje područje,2
War,Der Krieg,Die Kriege,Der,Krieg,rat,0,moj,Moj rat,2
Afternoon,Der Nachmittag,Die Nachmittage,Der,Nachmittag,poslijepodne,2,moje,Moje poslijepodne,2
Space,Der Raum,Die Räume,Der,Raum,prostor,0,moj,Moj prostor,2
Evening,Der Abend,Die Abende,Der,Abend,večer,1,moja,Moja večer,2
Letter,Der Brief,Die Briefe,Der,Brief,pismo,2,moje,Moje pismo,2
Bar,Die Bar,Die Bars,Die,Bar,bar,0,moj,Moj bar,2
Dream,Der Traum,Die Träume,Der,Traum,san,0,moj,Moj san,2
Apartment,Die Wohnung,Die Wohnungen,Die,Wohnung,stan,0,moj,Moj stan,2
Chest,Die Brust,Die Brüste,Die,Brust,prsa,1,moja,Moja prsa,2
Game,Das Spiel,Die Spiele,Das,Spiel,igra,1,moja,Moja igra,2
Summer,Der Sommer,Die Sommer,Der,Sommer,ljeto,2,moje,Moje ljeto,2
Matter,Die Angelegenheit,Die Angelegenheiten,Die,Angelegenheit,afera,1,moja,Moja afera,2
Silence,Die Stille,-,Die,Stille,šutnja,1,moja,Moja šutnja,2
Top,Die Spitze,Die Spitzen,Die,Spitze,čipka,1,moja,Moja čipka,2
Rock,Der Felsen,Die Felsen,Der,Felsen,stijena,1,moja,Moja stijena,2
Power,Die Macht,-,Die,Macht,moć,1,moja,Moja moć,2
Clothes,Die Kleidung,-,Die,Kleidung,odjeća,1,moja,Moja odjeća,2
Sign,Das Schild,Die Schilder,Das,Schild,štit,0,moj,Moj štit,2
Attention,Die Aufmerksamkeit,-,Die,Aufmerksamkeit,pažnja,1,moja,Moja pažnja,2
Music,Die Musik,-,Die,Musik,glazba,1,moja,Moja glazba,2
State,Der Zustand,Die Zustände,Der,Zustand,stanje,2,moje,Moje stanje,2
Dinner,Das Abendessen,Die Abendessen,Das,Abendessen,večera,1,moja,Moja večera,2
Hall,Der Saal,Die Säle,Der,Saal,dvorana,1,moja,Moja dvorana,2
Pain,Der Schmerz,Die Schmerzen,Der,Schmerz,bol,1,moja,Moja bol,2
Age,Das Alter,-,Das,Alter,godine,2,moje,Moje godine,2
River,Der Fluss,Die Flüsse,Der,Fluss,tijek,0,moj,Moj tijek,2
Chance,Die Chance,Die Chancen,Die,Chance,šansa,1,moja,Moja šansa,2
Nose,Die Nase,Die Nasen,Die,Nase,nos,0,moj,Moj nos,2
Shadow,Der Schatten,Die Schatten,Der,Schatten,sjena,1,moja,Moja sjena,2
Police,Die Polizei,-,Die,Polizei,policija,1,moja,Moja policija,2
Memory,Die Erinnerung,Die Erinnerungen,Die,Erinnerung,pamćenje,2,moje,Moje pamćenje,2
Color,Die Farbe,Die Farben,Die,Farbe,boja,1,moja,Moja boja,2
Knee,Das Knie,Die Knie,Das,Knie,koljeno,2,moje,Moje koljeno,2
Wood,Das Holz,-,Das,Holz,drvo,2,moje,Moje drvo,2
Shirt,Das Hemd,Die Hemden,Das,Hemd,košulja,1,moja,Moja košulja,2
Party,Die Party,Die Partys,Die,Party,zabava,1,moja,Moja zabava,2
Truck,Der Lastwagen,Die Lastwagen,Der,Lastwagen,kamion,0,moj,Moj kamion,2
Tooth,Der Zahn,Die Zähne,Der,Zahn,zub,0,moj,Moj zub,2
Bill,Die Rechnung,Die Rechnungen,Die,Rechnung,račun,0,moj,Moj račun,2
Scene,Die Szene,Die Szenen,Die,Szene,scena,1,moja,Moja scena,2
Star,Der Stern,Die Sterne,Der,Stern,zvijezda,1,moja,Moja zvijezda,2
Bird,Der Vogel,Die Vögel,Der,Vogel,ptica,1,moja,Moja ptica,2
Uncle,Der Onkel,Die Onkel,Der,Onkel,ujak,0,moj,Moj ujak,2
Sort,Die Art,-,Die,Art,način,0,moj,Moj način,2
Group,Die Gruppe,Die Gruppen,Die,Gruppe,grupa,1,moja,Moja grupa,2
Truth,Die Wahrheit,Die Wahrheiten,Die,Wahrheit,istina,1,moja,Moja istina,2
Trouble,Die Schwierigkeit,-,Die,Schwierigkeit,poteškoća,1,moja,Moja poteškoća,2
Crowd,Die Menschenmenge,Die Menschenmengen,Die,Menschenmenge,publika,1,moja,Moja publika,2
Station,Der Bahnhof,Die Bahnhöfe,Der,Bahnhof,stanica,1,moja,Moja stanica,2
Tear,Die Träne,Die Tränen,Die,Träne,suza,1,moja,Moja suza,2
Class,Die Klasse,Die Klassen,Die,Klasse,razred,0,moj,Moj razred,2
Sea,Das Meer,Die Meere,Das,Meer,more,2,moje,Moje more,2
Animal,Das Tier,Die Tiere,Das,Tier,životinja,1,moja,Moja životinja,2
Center,Das Zentrum,Die Zentren,Das,Zentrum,centar,0,moj,Moj centar,2
Feeling,Das Gefühl,Die Gefühle,Das,Gefühl,osjećaj,0,moj,Moj osjećaj,2
Mountain,Der Berg,Die Berge,Der,Berg,planina,1,moja,Moja planina,2
News,Die Nachrichten,-,Die,Nachrichten,poruke,2,moje,Moje poruke,2
Shoe,Der Schuh,Die Schuhe,Der,Schuh,cipela,1,moja,Moja cipela,2
Cat,Die Katze,Die Katzen,Die,Katze,mačka,1,moja,Moja mačka,2
Screen,Der Bildschirm,Die Bildschirme,Der,Bildschirm,zaslon,0,moj,Moj zaslon,2
Bottle,Die Flasche,Die Flaschen,Die,Flasche,boca,1,moja,Moja boca,2
Call,Der Anruf,Die Anrufe,Der,Anruf,poziv,0,moj,Moj poziv,2
Cheek,Die Wange,Die Wangen,Die,Wange,obraz,0,moj,Moj obraz,2
Student,Der Student,Die Studenten,Der,Student,učenik,0,moj,Moj učenik,2
Ball,Der Ball,Die Bälle,Der,Ball,lopta,1,moja,Moja lopta,2
Sight,Der Anblick,Die Anblicke,Der,Anblick,vid,0,moj,Moj vid,2
Hill,Der Hügel,Die Hügel,Der,Hügel,brdo,2,moje,Moje brdo,2
Company,Das Unternehmen,Die Unternehmen,Das,Unternehmen,tvrtka,1,moja,Moja tvrtka,2
Church,Die Kirche,Die Kirchen,Die,Kirche,crkva,1,moja,Moja Crkva,2
Rain,Der Regen,Die Regen,Der,Regen,kiša,1,moja,Moja kiša,2
Suit,Der Anzug,Die Anzüge,Der,Anzug,odijelo,2,moje,Moje odijelo,2
One,Die Eins,-,Die,Eins,jedina,1,moja,Moja jedina,2
Direction,Die Richtung,Die Richtungen,Die,Richtung,smjer,0,moj,Moj smjer,2
Will,Der Wille,-,Der,Wille,volja,1,moja,Moja volja,2
Answer,Die Antwort,Die Antworten,Die,Antwort,odgovor,0,moj,Moj odgovor,2
Stuff,Das Zeug,-,Das,Zeug,stvari,2,moje,Moje stvari,2
Hospital,Das Krankenhaus,Die Krankenhäuser,Das,Krankenhaus,bolnica,1,moja,Moja bolnica,2
Camera,Die Kamera,Die Kameras,Die,Kamera,fotoaparat,0,moj,Moj fotoaparat,2
Dress,Das Kleid,Die Kleider,Das,Kleid,haljina,1,moja,Moja haljina,2
Card,Die Karte,Die Karten,Die,Karte,kartica,1,moja,Moja kartica,2
Yard,Der Hof,Die Höfe,Der,Hof,farma,1,moja,Moja farma,2
Dark,Die Dunkelheit,-,Die,Dunkelheit,tama,1,moja,Moja tama,2
Shit,Die Scheiße,-,Die,Scheiße,sranje,2,moje,Moje sranje,2
Machine,Die Maschine,Die Maschinen,Die,Maschine,stroj,0,moj,Moj stroj,2
Distance,Die Entfernung,Die Entfernungen,Die,Entfernung,udaljenost,1,moja,Moja udaljenost,2
Narrator,Der Erzähler,Die Erzähler,Der,Erzähler,pripovjedač,0,moj,Moj pripovjedač,2
Ice,Das Eis,Die Eis,Das,Eis,sladoled,0,moj,Moj sladoled,2
Snow,Der Schnee,-,Der,Schnee,snijeg,0,moj,Moj snijeg,2
Note,Die Notiz,Die Notizen,Die,Notiz,bilješka,1,moja,Moja bilješka,2
Mirror,Der Spiegel,Die Spiegel,Der,Spiegel,ogledalo,2,moje,Moje ogledalo,2
King,Der König,Die Könige,Der,König,kralju,0,moj,Moj kralju,2
Fear,Die Angst,-,Die,Angst,strah,0,moj,Moj strah,2
Officer,Der Beamte,Die Beamten,Der,Beamte,službeni,0,moj,Moj službeni,2
Hole,Das Loch,Die Löcher,Das,Loch,rupa,1,moja,Moja rupa,2
Shot,Der Schuss,Die Schüsse,Der,Schuss,prilika,1,moja,Moja prilika,2
Guard,Der Wächter,Die Wächter,Der,Wächter,skrbnik,0,moj,Moj skrbnik,2
Conversation,Das Gespräch,Die Gespräche,Das,Gespräch,razgovor,0,moj,Moj razgovor,2
Boat,Das Boot,Die Boote,Das,Boot,brod,0,moj,Moj brod,2
System,Das System,Die Systeme,Das,System,sustav,0,moj,Moj sustav,2
Care,Die Sorge,Die Sorgen,Die,Sorge,briga,1,moja,Moja briga,2
Movie,Der Film,Die Filme,Der,Film,film,0,moj,Moj film,2
Bone,Der Knochen,Die Knochen,Der,Knochen,kost,1,moja,Moja kost,2
Captain,Der Kapitän,Die Kapitäne,Der,Kapitän,kapetan,0,moj,Moj kapetan,2
Aunt,Die Tante,Die Tanten,Die,Tante,teta,1,moja,Moja teta,2
Control,Die Kontrolle,Die Kontrollen,Die,Kontrolle,kontrola,1,moja,Moja kontrola,2
Drink,Das Getränk,Die Getränke,Das,Getränk,piće,2,moje,Moje piće,2
Hotel,Das Hotel,Die Hotels,Das,Hotel,hotel,0,moj,Moj hotel,2
Coat,Der Mantel,Die Mäntel,Der,Mantel,kaput,0,moj,Moj kaput,2
Stair,Die Treppe,Die Treppen,Die,Treppe,stepenice,2,moje,Moje stepenice,2
Order,Die Bestellung,Die Bestellungen,Die,Bestellung,narudžba,1,moja,Moja narudžba,2
Rose,Die Rose,Die Rosen,Die,Rose,ruža,1,moja,Moja ruža,2
Miss,Die Miss,-,Die,Miss,gospođica,1,moja,Moja gospođica,2
Hat,Der Hut,Die Hüte,Der,Hut,šešir,0,moj,Moj šešir,2
Gold,Das Gold,-,Das,Gold,zlato,2,moje,Moje zlato,2
Cigarette,Die Zigarette,Die Zigaretten,Die,Zigarette,cigareta,1,moja,Moja cigareta,2
Cloud,Die Wolke,Die Wolken,Die,Wolke,oblak,0,moj,Moj oblak,2
View,Die Aussicht,Die Aussichten,Die,Aussicht,mišljenje,2,moje,Moje mišljenje,2
Driver,Der Fahrer,Die Fahrer,Der,Fahrer,vozač,0,moj,Moj vozač,2
Cup,Die Tasse,Die Tassen,Die,Tasse,šalica,1,moja,Moja šalica,2
Figure,Die Figur,Die Figuren,Die,Figur,figura,1,moja,Moja figura,2
Key,Der Schlüssel,Die Schlüssel,Der,Schlüssel,ključ,0,moj,Moj ključ,2
Computer,Der Computer,Die Computer,Der,Computer,računalo,2,moje,Moje računalo,2
Flower,Die Blume,Die Blumen,Die,Blume,cvijet,0,moj,Moj cvijet,2
Ring,Der Ring,Die Ringe,Der,Ring,prsten,0,moj,Moj prsten,2
Bathroom,Das Badezimmer,Die Badezimmer,Das,Badezimmer,kupaonica,1,moja,Moja kupaonica,2
Metal,Das Metall,Die Metalle,Das,Metall,metal,0,moj,Moj metal,2
Song,Das Lied,Die Lieder,Das,Lied,pjesma,1,moja,Moja pjesma,2
Soldier,Der Soldat,Die Soldaten,Der,Soldat,vojnik,0,moj,Moj vojnik,2
Radio,Das Radio,Die Radios,Das,Radio,radio,0,moj,Moj radio,2
Wave,Die Welle,Die Wellen,Die,Welle,val,0,moj,Moj val,2
Plan,Der Plan,Die Pläne,Der,Plan,plan,0,moj,Moj plan,2
College,Das College,Die Colleges,Das,College,fakultet,0,moj,Moj fakultet,2
Fish,Der Fisch,Die Fische,Der,Fisch,riba,1,moja,Moja riba,2
Garden,Der Garten,Die Gärten,Der,Garten,vrt,0,moj,Moj vrt,2
Train,Der Zug,Die Züge,Der,Zug,vlak,0,moj,Moj vlak,2
Cop,Der Polizist,Die Polizisten,Der,Polizist,policajac,0,moj,Moj policajac,2
Art,Die Kunst,-,Die,Kunst,umjetnost,1,moja,Moja umjetnost,2
Beer,Das Bier,Die Biere,Das,Bier,pivo,2,moje,Moje pivo,2
North,Der Norden,-,Der,Norden,sjever,0,moj,Moj sjever,2
Island,Die Insel,Die Inseln,Die,Insel,otok,0,moj,Moj otok,2
Bus,Der Bus,Die Busse,Der,Bus,autobus,0,moj,Moj autobus,2
Smell,Der Geruch,Die Gerüche,Der,Geruch,miris,0,moj,Moj miris,2
Noise,Das Geräusch,Die Geräusche,Das,Geräusch,buka,1,moja,Moja buka,2
Park,Der Park,Die Parks,Der,Park,park,0,moj,Moj park,2
South,Der Süden,-,Der,Süden,jug,0,moj,Moj jug,2
Plate,Der Teller,Die Teller,Der,Teller,tanjur,0,moj,Moj tanjur,2
Jacket,Die Jacke,Die Jacken,Die,Jacke,jakna,1,moja,Moja jakna,2
Help,Die Hilfe,Die Hilfen,Die,Hilfe,pomoć,1,moja,Moja pomoć,2
Daddy,Der Papa,Die Papas,Der,Papa,tata,0,moj,Moj tata,2
Grass,Das Gras,Die Gräser,Das,Gras,trava,1,moja,Moja trava,2
Thanks,Der Dank,Die Danksagungen,Der,Dank,hvala,1,moja,Moja hvala,2
Heat,Die Hitze,-,Die,Hitze,vrućina,1,moja,Moja vrućina,2
Brain,Das Gehirn,Die Gehirne,Das,Gehirn,mozak,0,moj,Moj mozak,2
Service,Der Service,Die Services,Der,Service,usluga,1,moja,Moja usluga,2
Trip,Die Reise,Die Reisen,Die,Reise,putovanje,2,moje,Moje putovanje,2
Beat,Der Schlag,Die Schläge,Der,Schlag,potkrovlje,2,moje,Moje potkrovlje,2
Knife,Das Messer,Die Messer,Das,Messer,nož,0,moj,Moj nož,2
Spot,Der Fleck,Die Flecken,Der,Fleck,mrlja,1,moja,Moja mrlja,2
Message,Die Nachricht,Die Nachrichten,Die,Nachricht,poruka,1,moja,Moja poruka,2
Mark,Das Zeichen,Die Zeichen,Das,Zeichen,znak,0,moj,Moj znak,2
Teacher,Der Lehrer,Die Lehrer,Der,Lehrer,učitelj,0,moj,Moj učitelj,2
Village,Das Dorf,Die Dörfer,Das,Dorf,selo,2,moje,Moje selo,2
Winter,Der Winter,Die Winter,Der,Winter,zima,1,moja,Moja zima,2
Law,Das Gesetz,Die Gesetze,Das,Gesetz,zakon,0,moj,Moj zakon,2
Surface,Die Oberfläche,Die Oberflächen,Die,Oberfläche,sučelje,2,moje,Moje sučelje,2
Bank,Die Bank,Die Banken,Die,Bank,banka,1,moja,Moja banka,2
Team,Das Team,Die Teams,Das,Team,tim,0,moj,Moj tim,2
Maximum,Das Maximum,Die Maxima,Das,Maximum,maksimum,0,moj,Moj maksimum,2
Position,Die Position,Die Positionen,Die,Position,pozicija,1,moja,Moja pozicija,2
Stomach,Der Magen,Die Mägen,Der,Magen,želudac,0,moj,Moj želudac,2
Turn,Die Wende,-,Die,Wende,preokret,0,moj,Moj preokret,2
West,Der Westen,-,Der,Westen,zapad,0,moj,Moj Zapad,2
Lunch,Das Mittagessen,Die Mittagessen,Das,Mittagessen,ručak,0,moj,Moj ručak,2
Change,Die Veränderung,Die Veränderungen,Die,Veränderung,promjena,1,moja,Moja promjena,2
Soul,Die Seele,Die Seelen,Die,Seele,duša,1,moja,Moja duša,2
Leaf,Das Blatt,Die Blätter,Das,Blatt,list,0,moj,Moj list,2
Show,Die Show,Die Shows,Die,Show,emisija,1,moja,Moja emisija,2
Palm,Die Palme,Die Palmen,Die,Palme,palma,1,moja,Moja palma,2
Plastic,Das Plastik,-,Das,Plastik,plastika,1,moja,Moja plastika,2
Beach,Der Strand,Die Strände,Der,Strand,plaža,1,moja,Moja plaža,2
President,Der Präsident,Die Präsidenten,Der,Präsident,predsjednik,0,moj,Moj predsjednik,2
Shape,Die Form,Die Formen,Die,Form,obrazac,0,moj,Moj obrazac,2
Smoke,Der Rauch,Die Rauch,Der,Rauch,dim,0,moj,Moj dim,2
Wheel,Das Rad,Die Räder,Das,Rad,bicikl,0,moj,Moj bicikl,2
Silver,Das Silber,-,Das,Silber,srebro,2,moje,Moje srebro,2
Roof,Das Dach,Die Dächer,Das,Dach,krov,0,moj,Moj krov,2
Weight,Das Gewicht,Die Gewichte,Das,Gewicht,težina,1,moja,Moja težina,2
Tongue,Die Zunge,Die Zungen,Die,Zunge,jezik,0,moj,Moj jezik,2
Tea,Der Tee,Die Tees,Der,Tee,čaj,0,moj,Moj čaj,2
Track,Die Strecke,Die Strecken,Die,Strecke,ruta,1,moja,Moja ruta,2
Angle,Der Winkel,Die Winkel,Der,Winkel,kut,0,moj,Moj kut,2
Tone,Der Ton,Die Töne,Der,Ton,ton,0,moj,Moj ton,2
Circle,Der Kreis,Die Kreise,Der,Kreis,krug,0,moj,Moj krug,2
Spring,Der Frühling,Die Frühlinge,Der,Frühling,proljeće,2,moje,Moje proljeće,2
Porch,Die Veranda,Die Veranden,Die,Veranda,trijem,0,moj,Moj trijem,2
Member,Das Mitglied,Die Mitglieder,Das,Mitglied,član,0,moj,Moj član,2
Pool,Der Pool,Die Pools,Der,Pool,bazen,0,moj,Moj bazen,2
Need,Das Bedürfnis,Die Bedürfnisse,Das,Bedürfnis,potreba,1,moja,Moja potreba,2
Hope,Die Hoffnung,Die Hoffnungen,Die,Hoffnung,nada,1,moja,Moja nada,2
Lake,Der See,Die Seen,Der,See,jezero,2,moje,Moje jezero,2
Surprise,Die Überraschung,Die Überraschungen,Die,Überraschung,iznenađenje,2,moje,Moje iznenađenje,2
Interest,Das Interesse,-,Das,Interesse,interes,0,moj,Moj interes,2
